ID,wt_a,dcp_a
14,0.7377655828538779,0.49750955143625303
23,0.6658263659496452,0.452145015452843
25,0.6214341617643248,0.3669991325223426
27,0.86,0.7014248704663213
28,0.575461915535445,0.371201089447995
33,0.5620057940284173,0.42857378388068984
36,0.39026915113871635,0.29401675309134423
41,0.5933974639265414,0.39978579462984865
42,0.8738291488911369,0.7761287567196189
46,0.29592237112157427,0.18398174979961773
52,0.9677269732187743,0.9135504285956628
59,0.6172235023041475,0.5172413793103449
61,0.8241237555223577,0.7157182085971021
64,0.47880076362374174,0.31980787364450736
66,0.8277163839303703,0.7528253839479881
67,0.6823392444872179,0.5632563392868224
70,0.6651735836024946,0.5154876054968849
74,0.8132223763291724,0.6049738195407487
78,0.6297382531614183,0.4970952646832044
79,0.44117347976408383,0.3410714285714286
81,0.869612782813044,0.698440512004662
84,0.6289432587194169,0.5193647672380627
86,0.658564763712894,0.5530619905619906
87,0.7311229473880076,0.5386898774857344
92,0.7933536977653197,0.6787947827673635
96,0.4896738081451457,0.318761429758936
98,0.5533110156463269,0.4781409601634321
99,0.7047644005191175,0.4810014804041243
100,0.6828820417055711,0.551138162608942
102,0.5791690908699119,0.5251672496113702
111,0.6465618327557843,0.4178727908236105
114,0.6698526933605149,0.4948266755622272
120,0.7118448637316561,0.5185120914668885
126,0.7016133462742872,0.6215948872425303
130,0.5684053454080358,0.3288868394150851
133,0.6420742071453661,0.4853733002580206
135,0.7981533426834969,0.758
140,0.7775443510737629,0.6678833664518005
141,0.6440627927508713,0.5315380603640829
146,0.35911801964909984,0.2115169444771604
147,0.6019019987105093,0.3752325272389051
148,0.356348035667474,0.17888242963224227
149,0.8239442615180361,0.7143517284279748
154,0.5714718272775144,0.44341090387137755
156,0.7805252692256134,0.6675136047410914
157,0.8643622260526964,0.6862914862914863
159,0.7487327162707562,0.5701479033774597
160,0.6220238095238095,0.3534845360824742
162,0.6568627450980392,0.5220055413469735
164,0.8084890444101204,0.6558734562227384
165,0.7287599551692657,0.5551702741801676
169,0.23990683229813664,0.200059551379607
174,0.6129692418000413,0.39022597646086965
178,0.6615188361741396,0.5285921275054335
182,0.6652298850574713,0.556823073611709
183,0.8896489772254882,0.7906042920356684
185,0.6669772256728779,0.45790137614678894
187,0.6868954517390409,0.5876027134407874
188,0.5550920509820824,0.43081798952314704
190,0.5679597342361336,0.4056170491962626
191,0.4706168042739194,0.3951465201465202
194,0.6330787537156158,0.37901779506330013
199,0.6933399554454014,0.5550096958815477
200,0.8705882352941177,0.8378570750688052
201,0.8899634644315495,0.8033585619678335
203,0.7339488108509848,0.6480449657869012
205,0.6689189189189189,0.48714687982559723
208,0.8359978523136937,0.7667144373943982
210,0.8671346737054926,0.7864566469217632
213,0.6290322580645161,0.5115229270610596
215,0.7718264639402288,0.6434288188875344
218,0.8253061747009374,0.6021016061751501
222,0.7689342403628118,0.5055828062475797
224,0.46747437092264676,0.36231313926042485
225,0.5252597786601335,0.36227199261140614
229,0.6834957075974861,0.6466731461968045
230,0.7905232845714578,0.693868668057081
234,0.8124669029288362,0.6762295081967213
236,0.6873165328163944,0.6411981648597846
239,0.7032750030380363,0.661009361009361
248,0.4401075552527485,0.26029150703397086
251,0.7184914072767805,0.5668125800256082
254,0.7237404378791875,0.7434710743801654
255,0.7176863123771424,0.6421825137261898
258,0.5218166175024582,0.4420026129152669
260,0.753124552356396,0.5804750593824228
261,0.7726705120538226,0.6131124786929553
273,0.6298811130129638,0.5093034454399862
276,0.7591181948780938,0.6791374636043592
278,0.8086970845835699,0.6172079827822344
288,0.5774152847873107,0.42300194931773877
289,0.8332332483176881,0.7512397210556456
298,0.6648387624815846,0.5033882402001668
299,0.634232939736139,0.4601875861682741
301,0.6075577889447237,0.47457896985674086
305,0.6330644654680688,0.5954293602036651
313,0.6709543879708637,0.45106745412856725
318,0.7379822412737292,0.5649874216678717
320,0.8328021225944444,0.7397257271325863
321,0.670308602780477,0.4575403946685483
324,0.49449823124884973,0.389544731254746
331,0.40578255392851514,0.2594358158682634
333,0.7588228099458962,0.599052938806133
334,0.7180260734709702,0.58461210571185
339,0.8652765609485427,0.7430034355179704
344,0.7510198878123406,0.6665413533834585
345,0.32260529168354446,0.15577777678327687
346,0.8283295964125561,0.6813932469074182
348,0.5951687220490582,0.4499266708569034
350,0.6960574085475892,0.6441563045375218
352,0.7324132637962012,0.5002229099241893
356,0.6388888888888888,0.6744092373791621
357,0.6734745019421124,0.5054033946664008
358,0.7898115257276865,0.6228876180684958
360,0.7823282222364791,0.5776598779232104
362,0.8608247422680413,0.7798367191949876
367,0.760738966552331,0.559866763740863
369,0.5721040189125295,0.34881901840490803
373,0.8194792372564079,0.727311285644619
376,0.7509803921568627,0.5502227818674932
378,0.6669260300597535,0.5864752992713858
379,0.6700167504187604,0.5291334894613583
381,0.9402292390414445,0.8673433175032891
384,0.8930190632469528,0.6740396243683191
385,0.775,0.6536366306409331
386,0.41662528107712893,0.4062437978803636
388,0.5815039738495065,0.2636426427741054
390,0.3900234324888009,0.29391952309985103
393,0.5667238650337953,0.4398508612159176
394,0.7239864824522646,0.6586914577712124
398,0.7810808488701779,0.6363171929542455
400,0.730591484847186,0.6322701975414349
407,0.8811434762779227,0.7909610238715583
408,0.7086951917806457,0.6922522172230554
409,0.5233006280614239,0.38645908833662646
410,0.6748745399799264,0.5113329583802024
413,0.6649653149850544,0.4748142692455488
414,0.9015485794680023,0.8221282479368635
415,0.5694628099173553,0.5175755729596704
418,0.81947762382545,0.7615774381246694
424,0.7711046250561293,0.6415764139590854
426,0.5594156726346476,0.4996362708789963
429,0.6788890725739791,0.556542742227235
431,0.7808107396683338,0.6870830951019631
436,0.8795723089099955,0.8014557646320073
440,0.7120442473836014,0.496687114908856
441,0.6284615506004638,0.502118446679676
444,0.6222082596907386,0.46233008803921005
446,0.8753423975297574,0.7753156565656566
447,0.5176651305683564,0.4437976625603538
454,0.7441173444011868,0.6211257552875387
455,0.6494749322493225,0.5392578949838112
456,0.5186154741128564,0.38993983957219247
458,0.6110285659509203,0.5710890888866418
464,0.8830935790191415,0.7911299049607348
465,0.4906676302496974,0.33382315359059545
468,0.6856819650937298,0.5516549157853505
469,0.8491582093261969,0.6653674027250572
471,0.7460945425035505,0.6526852589641434
472,0.7317073170731707,0.6857142857142857
473,0.883623084861475,0.7516697704065691
480,0.5525428126621692,0.48814229249011865
482,0.14097744360902256,0.07950768752911944
484,0.5030673263720252,0.35081042827139075
485,0.8040665810512607,0.7087664057198656
486,0.2544738725841088,0.14920276375232527
491,0.49827110780408806,0.47516307706777017
494,0.7502068711882068,0.6332022471910113
495,0.5671331604636973,0.38852785832642917
499,0.7386559139784946,0.6183180185029857
500,0.9057202667744706,0.8418691279574537
502,0.7078303415462612,0.6619844552431664
503,0.4435209749626927,0.3032540720065011
507,0.8409590175741861,0.6486855628279331
508,0.5773467039289824,0.3846181765389083
509,0.7384063906651469,0.5849545954870665
510,0.6952140275478469,0.48832166269368293
511,0.5833484162895928,0.44764682576479214
513,0.48731722986343406,0.398079889131001
517,0.4726530005941771,0.25502867918598254
