ID,wt_a,dcp_a,m/w,log
14,0.7377655828538779,0.497509551436253,0.67,-0.5777669993169522
23,0.6658263659496452,0.4521450154528429,0.68,-0.5563933485243852
25,0.6214341617643248,0.3669991325223426,0.59,-0.7612131404128835
27,0.86,0.7014248704663213,0.82,-0.2863041851566411
28,0.5754619155354449,0.37120108944799496,0.65,-0.6214883767462702
33,0.5620057940284173,0.42857378388068973,0.76,-0.3959286763311392
36,0.3902691511387164,0.29401675309134423,0.75,-0.4150374992788438
41,0.5933974639265414,0.3997857946298487,0.67,-0.5777669993169522
42,0.8738291488911369,0.7761287567196189,0.89,-0.16812275880832692
46,0.2959223711215743,0.18398174979961773,0.62,-0.6896598793878495
52,0.9677269732187744,0.9135504285956628,0.94,-0.08926733809708741
59,0.6172235023041475,0.5172413793103449,0.84,-0.2515387669959645
61,0.8241237555223577,0.7157182085971021,0.87,-0.20091269392599642
64,0.4788007636237418,0.31980787364450736,0.67,-0.5777669993169522
66,0.8277163839303703,0.7528253839479881,0.91,-0.13606154957602837
67,0.6823392444872179,0.5632563392868224,0.83,-0.2688167584278
70,0.6651735836024946,0.5154876054968849,0.77,-0.3770696490798233
74,0.8132223763291724,0.6049738195407487,0.74,-0.4344028241457749
78,0.6297382531614183,0.4970952646832044,0.79,-0.3400754415976217
79,0.44117347976408383,0.3410714285714286,0.77,-0.3770696490798233
81,0.869612782813044,0.6984405120046621,0.8,-0.3219280948873623
84,0.6289432587194169,0.5193647672380627,0.83,-0.2688167584278
86,0.6585647637128941,0.5530619905619906,0.84,-0.2515387669959645
87,0.7311229473880076,0.5386898774857344,0.74,-0.4344028241457749
92,0.7933536977653197,0.6787947827673635,0.86,-0.2175914350726268
96,0.4896738081451457,0.318761429758936,0.65,-0.6214883767462702
98,0.5533110156463269,0.4781409601634321,0.86,-0.2175914350726268
99,0.7047644005191175,0.4810014804041243,0.68,-0.5563933485243852
100,0.6828820417055711,0.551138162608942,0.81,-0.3040061868900999
102,0.5791690908699119,0.5251672496113702,0.91,-0.13606154957602837
111,0.6465618327557843,0.4178727908236105,0.65,-0.6214883767462702
114,0.6698526933605149,0.4948266755622272,0.74,-0.4344028241457749
120,0.7118448637316561,0.5185120914668885,0.73,-0.4540316308947075
126,0.7016133462742872,0.6215948872425303,0.89,-0.16812275880832692
130,0.5684053454080358,0.3288868394150851,0.58,-0.7858751946471527
133,0.6420742071453661,0.4853733002580206,0.76,-0.3959286763311392
135,0.7981533426834969,0.758,0.95,-0.07400058144377693
140,0.7775443510737629,0.6678833664518005,0.86,-0.2175914350726268
141,0.6440627927508713,0.5315380603640829,0.83,-0.2688167584278
146,0.35911801964909984,0.2115169444771604,0.59,-0.7612131404128835
147,0.6019019987105093,0.3752325272389051,0.62,-0.6896598793878495
148,0.356348035667474,0.17888242963224227,0.5,-1.0
149,0.8239442615180361,0.7143517284279748,0.87,-0.20091269392599642
154,0.5714718272775144,0.4434109038713776,0.78,-0.3584539709124763
156,0.7805252692256134,0.6675136047410914,0.86,-0.2175914350726268
157,0.8643622260526964,0.6862914862914863,0.79,-0.3400754415976217
159,0.7487327162707562,0.5701479033774597,0.76,-0.3959286763311392
160,0.6220238095238095,0.3534845360824742,0.57,-0.8109661756099832
162,0.6568627450980392,0.5220055413469735,0.79,-0.3400754415976217
164,0.8084890444101204,0.6558734562227384,0.81,-0.3040061868900999
165,0.7287599551692657,0.5551702741801676,0.76,-0.3959286763311392
169,0.23990683229813664,0.200059551379607,0.83,-0.2688167584278
174,0.6129692418000413,0.3902259764608697,0.64,-0.6438561897747246
178,0.6615188361741396,0.5285921275054335,0.8,-0.3219280948873623
182,0.6652298850574713,0.5568230736117089,0.84,-0.2515387669959645
183,0.8896489772254882,0.7906042920356684,0.89,-0.16812275880832692
185,0.6669772256728779,0.457901376146789,0.69,-0.5353317329965557
187,0.6868954517390409,0.5876027134407874,0.86,-0.2175914350726268
188,0.5550920509820824,0.43081798952314704,0.78,-0.3584539709124763
190,0.5679597342361336,0.4056170491962626,0.71,-0.49410907027004275
191,0.4706168042739194,0.3951465201465202,0.84,-0.2515387669959645
194,0.6330787537156158,0.3790177950633001,0.6,-0.7369655941662062
199,0.6933399554454014,0.5550096958815477,0.8,-0.3219280948873623
200,0.8705882352941177,0.8378570750688052,0.96,-0.058893689053568565
201,0.8899634644315495,0.8033585619678335,0.9,-0.15200309344504997
203,0.7339488108509848,0.6480449657869012,0.88,-0.18442457113742744
205,0.6689189189189189,0.4871468798255972,0.73,-0.4540316308947075
208,0.8359978523136937,0.7667144373943982,0.92,-0.12029423371771177
210,0.8671346737054926,0.7864566469217632,0.91,-0.13606154957602837
213,0.6290322580645161,0.5115229270610596,0.81,-0.3040061868900999
215,0.7718264639402288,0.6434288188875344,0.83,-0.2688167584278
218,0.8253061747009374,0.6021016061751501,0.73,-0.4540316308947075
222,0.7689342403628118,0.5055828062475797,0.66,-0.5994620704162712
224,0.4674743709226468,0.3623131392604249,0.78,-0.3584539709124763
225,0.5252597786601335,0.3622719926114061,0.69,-0.5353317329965557
229,0.6834957075974861,0.6466731461968045,0.95,-0.07400058144377693
230,0.7905232845714578,0.6938686680570811,0.88,-0.18442457113742744
234,0.8124669029288362,0.6762295081967213,0.83,-0.2688167584278
236,0.6873165328163944,0.6411981648597846,0.93,-0.10469737866669322
239,0.7032750030380363,0.661009361009361,0.94,-0.08926733809708741
248,0.4401075552527485,0.2602915070339709,0.59,-0.7612131404128835
251,0.7184914072767805,0.5668125800256082,0.79,-0.3400754415976217
