ID,xrn1_1,Assigned_gene_name,xrn1_2
14,0.5294117647058824,YAL062W,0.6015625
23,0.6262626262626263,YAL060W,0.5769230769230769
25,0.513986013986014,YAL059W,0.4329958308516975
27,0.8100558659217877,YAL058W,0.7964601769911505
28,0.5346534653465347,YAL056W,0.5054347826086957
33,0.4666666666666667,YAL053W,0.4475362318840579
36,0.3962264150943397,YAL051W,0.270935960591133
40,0.6666666666666666,YAL044W-A,0.5714285714285714
41,0.5109628217349858,YAL044W-A,0.4917712691771269
42,0.8195446973903387,YAL042W,0.8170028818443804
46,0.25721153846153844,YAL041W,0.21029082774049213
52,0.9416934021481378,YAL038W,0.937005842628424
59,0.5061728395061729,YAL037W,0.5648148148148148
61,0.7882770870337478,YAL035W,0.7701212789415656
64,0.42105263157894735,YAL034W-A,0.335483870967742
66,0.7784395473496128,YAL033W,0.7491638795986622
67,0.645,YAL030W,0.6426701570680629
69,0.7087378640776699,YAL028W,0.6021505376344086
70,0.5742296918767507,YAL027W,0.5414364640883977
74,0.7424849699398798,YAL019W,0.7235996326905417
75,0.8777777777777778,YAL017W,0.8319088319088319
78,0.6283446045280799,YAL016W,0.5996978851963746
79,0.3588516746411483,YAL013W,0.4669117647058824
81,0.7930190263010632,YAL012W,0.7717739780924392
84,0.5039370078740157,YAL011W,0.5692307692307692
86,0.6300940438871473,YAL009W,0.5677233429394812
87,0.6851851851851852,YAL008W,0.6047904191616766
91,0.35135135135135137,YAL003W,0.328125
92,0.6988943077324001,YAL003W,0.680385832144408
96,0.4290123456790124,YAL002W,0.4222222222222222
98,0.5297157622739018,YAR002W,0.5416666666666666
99,0.6797385620915033,YAR003W,0.5889655172413794
100,0.6547085201793722,YAR008W,0.6270491803278688
102,0.536530415191503,YAR015W,0.5249127261186924
111,0.5472972972972973,YAR027W,0.5141129032258065
114,0.6418219461697723,YAR028W,0.5831987075928917
120,0.6709183673469388,YAR033W,0.6072289156626506
126,0.6333333333333333,YAR042W,0.6031746031746031
130,0.5148809523809523,YBL102W,0.4513715710723192
133,0.5927592116538132,YBL099W,0.5861402540033129
135,0.75,YBL098W,0.7324561403508771
138,0.686046511627907,YBL097W,
140,0.7300380228136882,YBL095W,0.7834645669291339
141,0.5925110565110565,YBL092W,0.6007300672430356
146,0.3166240409207161,YBL090W,0.30915524104378594
147,0.5384615384615384,YBL089W,0.4663382594417077
148,0.2822185970636215,YBL085W,0.2368421052631579
149,0.7766423357664234,YBL081W,0.7587230883444692
154,0.4843437708194537,YBL079W,0.4596949891067538
156,0.7024114930733709,YBL071W-A,0.7258635961027458
157,0.8026981450252951,YBL069W,0.8025078369905956
159,0.7252124645892352,YBL068W,0.7167656464138876
160,0.4419642857142857,YBL063W,0.4609375
161,0.6626506024096386,YBL060W,0.7307692307692307
162,0.5753424657534246,YBL060W,0.4958677685950413
164,0.7903225806451613,YBL058W,0.7270659590598939
165,0.6184798807749627,YBL056W,0.5610278372591007
169,0.2891566265060241,YBL054W,0.21138211382113825
174,0.5295554469956033,YBL050W,0.4982014388489209
178,0.5845410628019324,YBL046W,0.6728110599078341
180,0.7698412698412699,YBL043W,0.7168674698795181
182,0.6284153005464481,YBL041W,0.6774193548387096
183,0.8598392170569731,YBL041W,0.8507945850500295
185,0.5392354124748491,YBL039W-B,0.5262096774193549
186,0.5531914893617021,YBL039W-B,0.5333333333333333
187,0.620889748549323,YBL038W,0.6187290969899666
188,0.4975961538461538,YBL037W,0.4873949579831933
190,0.5138686131386861,YBL032W,0.4882005899705015
191,0.3188405797101449,YBL031W,0.2765957446808511
192,0.8359788359788359,YBL029W,0.7602339181286549
194,0.505126604850214,YBL027W,0.4589602351246666
199,0.6746302616609784,YBL026W,0.6826222684703434
200,0.8694942903752039,YBL025W,0.8761904761904762
201,0.8552206673842842,YBL024W,0.8425369054127939
203,0.7443095599393019,YBL020W,0.7130307467057101
205,0.6666666666666666,YBL019W,0.5339805825242718
208,0.8183556405353728,YBL016W,0.7781569965870307
210,0.8519417475728155,YBL015W,0.8557692307692307
213,0.4912280701754386,YBL013W,0.5227272727272727
215,0.6695957820738138,YBL011W,0.7010135135135135
218,0.6890080428954424,YBL008W,0.6948717948717948
222,0.6137931034482759,YBL005W,0.6490066225165563
224,0.5157894736842106,YBL005W-A,0.5733333333333334
225,0.4929577464788733,YBL005W-A,0.4301075268817205
229,0.6741071428571429,YBL004W,0.6433823529411765
230,0.7674494811578373,YBL002W,0.7458139786107808
234,0.7932692307692307,YBR003W,0.7571157495256167
236,0.6897767332549941,YBR005W,0.6432264736297828
237,0.8540145985401459,YBR005W,0.8415841584158416
239,0.796875,YBR006W,0.6650485436893204
248,0.3590347263095939,YBR010W,0.3339110340843443
251,0.6078042328042328,YBR016W,0.6193111931119312
254,0.7520435967302452,YBR021W,0.6884272997032641
255,0.6689734717416378,YBR022W,0.6763636363636364
258,0.5439560439560439,YBR024W,0.5323741007194245
259,0.6626506024096386,YBR030W,0.5882352941176471
260,0.6735074626865671,YBR030W,0.6537102473498233
261,0.7028903193234886,YBR031W,0.6850552306692658
273,0.5957446808510638,YBR038W,0.5766355140186916
276,0.7642479844314707,YBR039W,0.7502593360995851
278,0.7233502538071066,YBR041W,0.7200929152148664
286,0.7744360902255639,YBR047W,0.7039473684210527
288,0.5609756097560976,YBR048W,0.4021739130434783
289,0.7763601023805401,YBR048W,0.7548181818181818
298,0.5804195804195804,YBR054W,0.5384615384615384
299,0.607563025210084,YBR054W,0.5749894381073088
301,0.5645161290322581,YBR056W,0.5508130081300813
305,0.6243455497382199,YBR056W-A,0.5829545454545455
313,0.4837037037037037,YBR071W,0.4739336492890995
318,0.6873065015479877,YBR072W,0.6578073089700996
320,0.8425480769230769,YBR073W,0.7775377969762419
321,0.5756240822320118,YBR074W,0.5428145941921072
324,0.42673095758306334,YBR078W,0.42808139081624696
331,0.3464566929133858,YBR083W,0.36674259681093396
333,0.6919720767888308,YBR084W,0.7167736021998167
334,0.7362637362637363,YBR085W,0.6797752808988764
