ID,wt1,Assigned_gene_name,wt2
14,0.7244582043343654,YAL062W,0.7510729613733905
23,0.6815286624203821,YAL060W,0.6501240694789082
25,0.6394640682095006,YAL059W,0.6034042553191489
27,0.86,YAL058W,
28,0.5980392156862745,YAL056W,0.5528846153846154
33,0.5503315250150693,YAL053W,0.5736800630417652
36,0.36024844720496896,YAL051W,0.42028985507246375
41,0.6,YAL044W-A,0.5867949278530826
42,0.8730684326710817,YAL042W,0.8745898651111921
46,0.26515151515151514,YAL041W,0.32669322709163345
52,0.9677580761172092,YAL038W,0.9676958703203395
59,0.6451612903225806,YAL037W,0.5892857142857143
61,0.8182669789227166,YAL035W,0.8299805321219987
64,0.4738805970149254,YAL034W-A,0.4837209302325581
66,0.8239110287303059,YAL033W,0.8315217391304348
67,0.6831432192648923,YAL030W,0.6815352697095436
70,0.6691449814126395,YAL027W,0.6612021857923497
74,0.8169209431345353,YAL019W,0.8095238095238095
78,0.6241554054054054,YAL016W,0.6353211009174312
79,0.4429530201342282,YAL013W,0.4393939393939394
81,0.8705739412173108,YAL012W,0.8686516244087772
84,0.6814159292035398,YAL011W,0.5764705882352941
86,0.64576802507837,YAL009W,0.6713615023474179
87,0.7200772200772201,YAL008W,0.7421686746987952
92,0.7954942979080669,YAL003W,0.7912130976225725
96,0.4490445859872612,YAL002W,0.5303030303030303
98,0.5667447306791569,YAR002W,0.5398773006134969
99,0.7216981132075472,YAR003W,0.6878306878306878
100,0.6694677871148459,YAR008W,0.6962962962962963
102,0.5991983967935872,YAR015W,0.5591397849462365
111,0.6544943820224719,YAR027W,0.6386292834890965
114,0.6974459724950884,YAR028W,0.6422594142259415
120,0.7444444444444445,YAR033W,0.6792452830188679
126,0.6840148698884758,YAR042W,0.7192118226600985
130,0.5830258302583026,YBL102W,0.5537848605577689
133,0.6374092838559496,YBL099W,0.6467391304347826
135,0.8064516129032258,YBL098W,0.7898550724637681
140,0.7777777777777778,YBL095W,0.7773109243697479
141,0.6391964148599031,YBL092W,0.6489291706418396
146,0.35787567893783945,YBL090W,0.3603603603603603
147,0.5886524822695035,YBL089W,0.6151515151515151
148,0.36930860033726814,YBL085W,0.3433874709976798
149,0.8268733850129198,YBL081W,0.8210151380231523
154,0.5777777777777777,YBL079W,0.5651658767772512
156,0.7717391304347826,YBL071W-A,0.7893114080164442
157,0.8625954198473282,YBL069W,0.8661290322580645
159,0.7398218829516541,YBL068W,0.7576435495898584
160,0.6190476190476191,YBL063W,0.625
162,0.6568627450980392,YBL060W,
