ID,pat1_1,Assigned_gene_name,pat1_2
3,0.4358974358974359,YAL064W-B,0.5454545454545454
14,0.5070921985815603,YAL062W,0.5304054054054054
15,0.3956834532374101,YAL062W,0.4034090909090909
19,0.6293706293706294,YAL061W,0.6037151702786377
23,0.4653809674359785,YAL060W,0.5130272952853598
25,0.30727611940298505,YAL059W,0.3486422453070895
27,0.7028571428571428,YAL058W,0.76
28,0.3043478260869565,YAL056W,0.3446601941747573
29,0.7142857142857143,YAL055W,0.7443609022556391
33,0.3870703764320785,YAL053W,0.4334664005322688
36,0.1941747572815534,YAL051W,0.2681992337164751
40,0.5373134328358209,YAL044W-A,0.4262295081967213
41,0.3084217656355837,YAL044W-A,0.3521473832433701
42,0.7526768209923088,YAL042W,0.7749171936163806
46,0.1337579617834395,YAL041W,0.18485915492957747
52,0.9067948797339018,YAL038W,0.9094211043148019
58,0.44,YAL037W,0.5217391304347826
59,0.4453781512605042,YAL037W,0.4070796460176992
61,0.6831481061465184,YAL035W,0.6942046855733662
64,0.2173202614379085,YAL034W-A,0.2833607907742998
66,0.7069143446852425,YAL033W,0.7485855728429985
67,0.4731420161883738,YAL030W,0.5158597662771286
69,0.5,YAL028W,0.4432989690721649
70,0.4234135667396061,YAL027W,0.5128504672897196
74,0.5124099279423538,YAL019W,0.6075224856909239
75,0.7552631578947369,YAL017W,0.7540229885057471
76,0.5588235294117647,YAL017W,0.6617647058823529
77,0.4259259259259259,YAL017W,
78,0.446885617214043,YAL016W,0.5128781684382666
79,0.2938775510204082,YAL013W,0.33976833976833976
81,0.6488034851107,YAL012W,0.7080541953315108
84,0.4837209302325581,YAL011W,0.5502183406113537
86,0.5516304347826086,YAL009W,0.5109809663250366
87,0.5220588235294118,YAL008W,0.558023745691306
91,0.16455696202531644,YAL003W,0.22448979591836726
92,0.645377156644057,YAL003W,0.6861187095653685
96,0.24822695035460995,YAL002W,0.2793017456359102
98,0.453804347826087,YAR002W,0.4942648592283629
99,0.4505263157894737,YAR003W,0.5202702702702703
100,0.4209274673008324,YAR008W,0.5049073064340239
102,0.4672992206031854,YAR015W,0.5190334326381992
111,0.4557823129251701,YAR027W,0.4673913043478261
114,0.49364248317127896,YAR028W,0.504774897680764
115,0.5,YAR029W,
120,0.4619047619047619,YAR033W,0.5469061876247505
126,0.5,YAR042W,0.5485232067510548
130,0.2392638036809816,YBL102W,0.3219315895372233
131,0.4752475247524752,YBL100W-A,0.4444444444444444
133,0.452430846605197,YBL099W,0.4911832353692819
135,0.7377049180327869,YBL098W,0.6755725190839694
138,0.6388888888888888,YBL097W,0.5769230769230769
140,0.6764705882352942,YBL095W,0.668693009118541
141,0.5001507184244901,YBL092W,0.5348811188811189
146,0.20327788649706452,YBL090W,0.2450910811450201
147,0.4041570438799077,YBL089W,0.41570438799076215
148,0.13221153846153846,YBL085W,0.15765765765765766
149,0.6679151061173533,YBL081W,0.6936353829557713
154,0.33423180592991913,YBL079W,0.3668639053254438
156,0.6381395348837209,YBL071W-A,0.6736938588450962
157,0.6169491525423729,YBL069W,0.69009009009009
159,0.5693146417445483,YBL068W,0.6286254728877679
160,0.23214285714285715,YBL063W,0.3193277310924369
162,0.38144329896907214,YBL060W,0.3928571428571429
164,0.6010273972602739,YBL058W,0.6316695352839932
165,0.5622317596566524,YBL056W,0.5538869257950529
166,0.5333333333333333,YBL054W,0.6447368421052632
169,0.14619883040935672,YBL054W,0.20408163265306128
174,0.3713910761154856,YBL050W,0.4013605442176871
175,0.8666666666666667,YBL049W,0.8662280701754386
