ID,wt1,Assigned_gene_name,wt2,dcp2_1,dcp2_2,dhh1_1,dhh1_2,pat1_1,pat1_2,xrn1_1,xrn1_2
6597,0.7471698113207547,YPL126W,0.8006535947712419,0.7091194968553459,0.6444444444444445,0.6091205211726385,0.4619771863117871,0.5549132947976878,0.5522388059701493,0.7552941176470588,0.7357774968394437
6598,0.421875,YPL125W,0.4338028169014084,0.2935560859188544,0.3145780051150895,0.3851851851851852,0.3333333333333333,0.3582089552238806,0.3364485981308411,0.3797678275290216,0.35374149659863946
6600,0.8407960199004975,YPL120W,0.8658536585365854,0.8608695652173913,0.7990867579908676,0.8773946360153256,0.8270042194092827,0.8046875,0.8417721518987342,0.8663793103448276,0.8637992831541219
6603,0.8620689655172413,YPL118W,0.8487738419618529,0.7971830985915493,0.7481081081081081,0.7655755015839493,0.6791208791208792,0.7730061349693251,0.7883556254917388,0.8005671077504726,0.7987519500780031
6604,0.6555555555555556,YPL116W,0.6410256410256411,0.6385542168674698,0.5535714285714286,0.5294117647058824,0.4084507042253521,0.5172413793103449,0.5230769230769231,0.6267942583732058,0.6521739130434783
6605,0.6913043478260871,YPL114W,0.6993006993006993,0.5047021943573667,0.4370179948586118,0.3411764705882353,0.36,0.4372093023255814,0.4660633484162896,0.5983263598326359,0.5836177474402731
6607,0.7806191117092867,YPL111W,0.7992766726943942,0.5979192166462668,0.5196412001237241,0.4096534653465346,0.3086574654956085,0.5002852253280091,0.562624254473161,0.7045274027005559,0.6727272727272727
6610,0.6677524429967426,YPL108W,0.6244343891402715,0.4968814968814969,0.4382284382284382,0.417283950617284,0.3620309050772627,0.5342741935483871,0.5037593984962406,0.6197183098591549,0.5688775510204082
6611,0.6788617886178862,YPL107W,0.6610169491525424,0.5714285714285714,0.4950248756218906,0.4698795180722892,0.3613861386138614,0.4874715261958998,0.5151515151515151,0.5933734939759037,0.6246575342465753
6615,0.8073394495412844,YPL104W,0.7366412213740458,0.5984848484848485,0.5139949109414759,0.5214285714285715,0.4082278481012657,0.4895104895104895,0.5261627906976745,0.6355748373101953,0.6042105263157894
6617,0.8125,YPL101W,0.8279569892473119,0.7129963898916968,0.6350806451612904,0.6158415841584158,0.4585635359116022,0.6169265033407573,0.7294117647058823,0.7946287519747235,0.8125
6618,0.7982832618025751,YPL100W,0.8146067415730337,0.5859649122807018,0.5745454545454546,0.5625,0.4173441734417344,0.5855855855855856,0.564,0.728,0.6324503311258278
6621,0.8301886792452831,YPL097W,0.7916666666666666,0.7624521072796935,0.7319148936170212,0.7803921568627451,0.5784883720930233,0.7350427350427351,0.7252252252252253,0.7321428571428571,0.7587412587412588
6623,0.5643274853801171,YPL096W,0.5330578512396694,0.41019955654102,0.38177874186550975,0.31277533039647576,0.2403258655804481,0.36529680365296796,0.3859060402684564,0.4886363636363637,0.4228187919463087
6626,0.745274102079395,YPL093W,0.7292207792207792,0.5903114186851212,0.5259493670886076,0.5619557937039518,0.4168482207697894,0.5039494470774092,0.5577889447236181,0.6696352841391009,0.6531513448414291
6627,0.837037037037037,YPL092W,0.7816091954022989,0.6255380200860832,0.5948644793152639,0.5125448028673835,0.3617021276595745,0.5379644588045234,0.545144804088586,0.7726315789473684,0.6611374407582938
6630,0.5054347826086957,YPL091W,0.5153846153846153,0.4166666666666667,0.4031007751937984,0.35294117647058826,0.26262626262626265,0.3706293706293706,0.3357142857142857,0.5413533834586466,0.4913793103448276
6631,0.5900131406044679,YPL091W,0.5653450807635829,0.3938679245283019,0.3070063694267516,0.3765586034912718,0.29954954954954954,0.4507978723404255,0.4963427377220481,0.4941860465116279,0.470311027332705
6635,0.6363636363636364,YPL088W,0.4875,0.4608695652173913,0.3945783132530121,0.3125,,0.2525597269624573,0.2633333333333333,0.5,0.4111111111111111
6636,0.6526548672566371,YPL088W,0.6616541353383458,0.4609571788413098,0.38873994638069703,0.3652173913043478,0.3333333333333333,0.42560553633218,0.4024024024024024,0.6073298429319371,0.547945205479452
6638,0.4710144927536232,YPL088W,0.5555555555555556,0.3421828908554572,0.353125,0.280225988700565,0.2601941747572816,0.3468354430379747,0.3416289592760181,0.4276729559748428,0.4309392265193371
6640,0.5326732673267327,YPL087W,0.5050215208034433,0.5269978401727862,0.46845915201654603,0.37662337662337664,0.28835063437139563,0.4471947194719472,0.4612341772151899,0.5067385444743935,0.5326560232220611
6641,0.6981818181818182,YPL087W,0.6602870813397129,0.5478547854785478,0.49,0.390625,0.2916666666666667,0.4852941176470588,0.5188679245283019,0.6570048309178744,0.5979381443298969
6642,0.6691729323308271,YPL085W,0.6094674556213018,0.45,0.35945945945945945,0.4378029079159935,0.3508771929824561,0.3811320754716981,0.4576923076923077,0.6292834890965732,0.4757575757575758
6644,0.5448717948717948,YPL084W,0.5595238095238095,0.3754863813229572,0.32506887052341604,0.25938009787928223,0.1701098901098901,0.28583690987124466,0.3408333333333333,0.4632465543644717,0.471927162367223
6645,0.8020441097364174,YPL081W,0.8230483271375465,0.6883032019167937,0.6525540727105384,0.5510597302504817,0.42366412213740456,0.6036036036036037,0.6442699243746364,0.7262845849802372,0.7293723225926616
6648,0.5566969850870308,YPL079W,0.5349187839381839,0.3386082621259286,0.2737001799343769,0.2168701765514325,0.11307169934818775,0.24957467711403444,0.291404717597948,0.4524992472146944,0.3896539584584481
6651,0.8241042345276873,YPL076W,0.8271889400921659,0.7850655903128153,0.7280248190279214,0.7374301675977654,0.6578947368421053,0.7905759162303665,0.7944325481798715,0.8,0.8294117647058824
6653,0.5754716981132075,YPL075W,0.5792610250297974,0.5667380442541042,0.524171270718232,0.4688090737240075,0.34796747967479674,0.4558558558558559,0.4519685039370079,0.5356415478615071,0.5396145610278372
6654,0.6284722222222222,YPL074W,0.6779661016949152,0.5887265135699373,0.5384615384615384,0.5034965034965035,0.340080971659919,0.489051094890511,0.4897959183673469,0.6306532663316583,0.6541019955654102
6655,0.6862745098039216,YPL072W,0.6853932584269663,0.490566037735849,0.3826530612244898,0.3775510204081632,,0.4166666666666667,0.4152542372881356,0.5873605947955389,0.5431034482758621
6656,0.624,YPL070W,0.5643564356435643,0.5056179775280899,0.5948905109489051,0.5037406483790524,0.3931203931203931,0.4686192468619247,0.51931330472103,0.5647058823529412,0.5574712643678161
6658,0.6101694915254238,YPL066W,,,,,,,,,
