ID,cap,uncap,dhh1_1,Assigned_gene_name
2,1,0,1.0,YAL066W
3,19,19,0.5,YAL064W-B
13,15,3,0.8333333333333334,YAL062W
14,66,55,0.5454545454545454,YAL062W
15,100,158,0.3875968992248062,YAL062W
19,156,105,0.5977011494252874,YAL061W
23,471,647,0.4212880143112701,YAL060W
25,357,904,0.2831086439333862,YAL059W
27,80,22,0.7843137254901961,YAL058W
28,48,141,0.25396825396825395,YAL056W
29,164,61,0.7288888888888889,YAL055W
33,968,1515,0.3898509867096255,YAL053W
36,63,163,0.27876106194690264,YAL051W
39,5,7,0.4166666666666667,YAL044W-A
40,19,10,0.6551724137931034,YAL044W-A
41,851,2044,0.2939550949913644,YAL044W-A
42,2065,664,0.7566874312935141,YAL042W
46,53,313,0.1448087431693989,YAL041W
51,4,7,0.3636363636363637,YAL038W
52,64046,8362,0.8845155231466136,YAL038W
58,5,4,0.5555555555555556,YAL037W
59,29,43,0.4027777777777778,YAL037W
61,4296,2287,0.6525900045571927,YAL035W
64,69,256,0.2123076923076923,YAL034W-A
66,539,264,0.6712328767123288,YAL033W
67,271,331,0.4501661129568105,YAL030W
68,5,10,0.3333333333333333,YAL028W
69,52,36,0.5909090909090909,YAL028W
70,167,198,0.4575342465753425,YAL027W
74,419,402,0.510353227771011,YAL019W
75,377,105,0.7821576763485477,YAL017W
76,34,28,0.5483870967741935,YAL017W
77,5,12,0.29411764705882354,YAL017W
78,1154,1488,0.4367903103709311,YAL016W
79,161,320,0.33471933471933474,YAL013W
81,10662,6604,0.6175141897370555,YAL012W
84,144,113,0.5603112840466926,YAL011W
86,96,125,0.4343891402714932,YAL009W
87,318,395,0.4460028050490884,YAL008W
91,13,10,0.5652173913043478,YAL003W
92,9490,5748,0.62278514240714,YAL003W
96,53,192,0.2163265306122449,YAL002W
98,219,339,0.3924731182795699,YAR002W
99,61,66,0.4803149606299213,YAR003W
100,100,190,0.3448275862068966,YAR008W
102,786,898,0.4667458432304038,YAR015W
105,3,3,0.5,YAR019W-A
110,53,24,0.6883116883116883,YAR027W
111,196,231,0.459016393442623,YAR027W
114,235,344,0.4058721934369603,YAR028W
115,2,3,0.4,YAR029W
116,2,1,0.6666666666666666,YAR029W
120,294,322,0.4772727272727273,YAR033W
122,29,4,0.8787878787878788,YAR035W
126,205,128,0.6156156156156156,YAR042W
129,0,1,0.0,YAR075W
130,64,206,0.23703703703703705,YBL102W
131,7,9,0.4375,YBL100W-A
133,2551,3668,0.41019456504261137,YBL099W
134,8,3,0.7272727272727273,YBL099W
135,66,25,0.7252747252747253,YBL098W
138,91,46,0.6642335766423357,YBL097W
140,135,95,0.5869565217391305,YBL095W
141,18160,19090,0.48751677852349,YBL092W
146,681,2587,0.2083843329253366,YBL090W
147,124,246,0.33513513513513515,YBL089W
148,81,682,0.10615989515072084,YBL085W
149,796,425,0.6519246519246519,YBL081W
150,6,21,0.2222222222222222,YBL081W
154,307,413,0.4263888888888889,YBL079W
156,469,304,0.6067270375161707,YBL071W-A
157,526,368,0.5883668903803132,YBL069W
159,712,766,0.4817320703653586,YBL068W
160,60,148,0.28846153846153844,YBL063W
161,15,16,0.4838709677419355,YBL060W
162,33,46,0.4177215189873418,YBL060W
164,766,667,0.5345429169574321,YBL058W
165,517,341,0.6025641025641025,YBL056W
166,4,4,0.5,YBL054W
167,4,0,1.0,YBL054W
168,2,35,0.054054054054054064,YBL054W
169,42,220,0.16030534351145034,YBL054W
174,577,1259,0.3142701525054466,YBL050W
175,274,29,0.9042904290429042,YBL049W
176,113,67,0.6277777777777778,YBL049W
178,147,149,0.4966216216216216,YBL046W
180,193,115,0.6266233766233766,YBL043W
182,47,60,0.4392523364485981,YBL041W
183,3926,1546,0.7174707602339181,YBL041W
185,53,50,0.5145631067961165,YBL039W-B
186,18,33,0.35294117647058826,YBL039W-B
187,460,382,0.5463182897862233,YBL038W
188,108,227,0.3223880597014925,YBL037W
190,244,403,0.37712519319938176,YBL032W
191,18,103,0.1487603305785124,YBL031W
192,54,14,0.7941176470588235,YBL029W
194,9257,20507,0.3110133046633517,YBL027W
196,0,7,0.0,YBL026W
197,6,1,0.8571428571428571,YBL026W
198,5,8,0.38461538461538464,YBL026W
199,249,245,0.5040485829959515,YBL026W
200,165,44,0.7894736842105263,YBL025W
201,1519,516,0.7464373464373464,YBL024W
202,4,2,0.6666666666666666,YBL020W
203,415,404,0.5067155067155067,YBL020W
205,17,35,0.3269230769230769,YBL019W
206,0,3,0.0,YBL016W
207,2,10,0.16666666666666666,YBL016W
208,873,320,0.7317686504610227,YBL016W
210,322,85,0.7911547911547911,YBL015W
213,29,23,0.5576923076923077,YBL013W
215,354,247,0.589018302828619,YBL011W
217,58,8,0.8787878787878788,YBL009W
218,165,155,0.515625,YBL008W
220,1,20,0.047619047619047616,YBL006W-A
221,6,14,0.3,YBL005W
222,35,63,0.35714285714285715,YBL005W
224,22,87,0.2018348623853211,YBL005W-A
225,46,97,0.3216783216783217,YBL005W-A
229,678,528,0.5621890547263682,YBL004W
230,4492,1777,0.7165417131918966,YBL002W
234,562,486,0.5362595419847328,YBR003W
235,3,1,0.75,YBR005W
236,578,513,0.5297891842346472,YBR005W
237,308,75,0.8041775456919059,YBR005W
239,307,252,0.5491949910554562,YBR006W
248,833,3221,0.20547607301430687,YBR010W
250,8,8,0.5,YBR016W
251,1843,1750,0.5129418313387142,YBR016W
254,92,76,0.5476190476190477,YBR021W
255,306,218,0.583969465648855,YBR022W
258,79,99,0.4438202247191011,YBR024W
259,12,25,0.32432432432432434,YBR030W
260,128,192,0.4,YBR030W
261,3893,3233,0.5463092899242211,YBR031W
264,4,3,0.5714285714285714,YBR033W
265,8,6,0.5714285714285714,YBR033W
273,895,1003,0.4715489989462592,YBR038W
276,1811,960,0.6535546734031036,YBR039W
278,268,206,0.5654008438818565,YBR041W
286,99,81,0.55,YBR047W
288,6,33,0.15384615384615385,YBR048W
289,22046,7832,0.7378673271303299,YBR048W
293,7,23,0.2333333333333333,YBR051W
298,13,7,0.65,YBR054W
299,653,951,0.4071072319201995,YBR054W
301,291,396,0.4235807860262009,YBR056W
305,459,689,0.3998257839721254,YBR056W-A
313,1670,3274,0.3377831715210356,YBR071W
316,0,2,0.0,YBR072W
317,3,39,0.07142857142857142,YBR072W
318,1086,1018,0.5161596958174905,YBR072W
320,999,526,0.6550819672131147,YBR073W
321,279,346,0.4464,YBR074W
324,3139,5827,0.3501003792103502,YBR078W
329,7,10,0.4117647058823529,YBR083W
330,2,3,0.4,YBR083W
331,201,604,0.2496894409937888,YBR083W
333,520,338,0.6060606060606061,YBR084W
334,38,45,0.4578313253012048,YBR085W
338,9,0,1.0,YBR087W
339,341,113,0.751101321585903,YBR087W
344,99,81,0.55,YBR094W
345,201,1430,0.12323727774371553,YBR096W
346,239,132,0.6442048517520216,YBR097W
347,93,71,0.5670731707317073,YBR098W
348,38,87,0.304,YBR103W
349,16,40,0.2857142857142857,YBR103W
350,271,164,0.6229885057471264,YBR104W
352,1594,2044,0.4381528312259483,YBR106W
355,3,0,1.0,YBR108W
356,144,103,0.582995951417004,YBR108W
357,115,250,0.3150684931506849,YBR110W
358,524,533,0.4957426679280984,YBR110W
360,295,285,0.5086206896551724,YBR111W-A
362,201,103,0.6611842105263158,YBR114W
366,17,11,0.6071428571428571,YBR118W
367,45864,48900,0.4839812587058376,YBR118W
369,38,136,0.2183908045977012,YBR119W
371,1,3,0.25,YBR124W
373,1283,633,0.6696242171189979,YBR126W-A
376,41,46,0.4712643678160919,YBR131W
377,2,1,0.6666666666666666,YBR135W
378,645,759,0.4594017094017094,YBR135W
379,94,90,0.5108695652173914,YBR136W
381,1841,312,0.8550859266140269,YBR137W
384,1971,1430,0.57953543075566,YBR139W
385,67,43,0.6090909090909091,YBR141W-A
386,200,365,0.3539823008849557,YBR142W
388,56,196,0.2222222222222222,YBR145W
390,435,1420,0.2345013477088949,YBR146W
392,68,48,0.5862068965517241,YBR147W
393,1601,2043,0.4393523600439078,YBR149W
394,539,394,0.5777063236870311,YBR151W
396,14,25,0.35897435897435903,YBR152W
398,216,143,0.6016713091922006,YBR153W
400,209,200,0.511002444987775,YBR155W
406,1,4,0.2,YBR158W
407,1080,330,0.7659574468085106,YBR158W
408,997,507,0.6628989361702128,YBR159W
409,219,432,0.33640552995391704,YBR160W
410,199,225,0.4693396226415094,YBR161W
412,14,13,0.5185185185185185,YBR162W-A
413,33,36,0.4782608695652174,YBR162W-A
414,4332,1324,0.7659123055162659,YBR162W-A
415,59,81,0.4214285714285714,YBR163W
416,13,4,0.7647058823529411,YBR163W
418,434,185,0.7011308562197092,YBR165W
419,12,8,0.6,YBR165W
421,14,2,0.875,YBR168W
422,6,5,0.5454545454545454,YBR168W
423,1,1,0.5,YBR168W
424,47,28,0.6266666666666667,YBR168W
425,23,17,0.575,YBR168W
426,426,482,0.4691629955947136,YBR171W
428,10,2,0.8333333333333334,YBR175W
429,208,167,0.5546666666666666,YBR175W
431,81,48,0.627906976744186,YBR176W
432,2,6,0.25,YBR178W
435,8,3,0.7272727272727273,YBR183W
