ID,cap,uncap,xrn1_1,Assigned_gene_name
7890,592,441,0.5730880929332043,YDL167C
7892,153,163,0.4841772151898734,YDL166C
7893,0,5,0.0,YDL166C
7895,200,81,0.7117437722419929,YDL164C
7896,68,13,0.8395061728395061,YDL164C
7897,334,158,0.6788617886178862,YDL160C-A
7899,0,11,0.0,YDL160C-A
7901,1196,377,0.7603305785123967,YDL160C
7902,749,1667,0.31001655629139074,YDL157C
7904,377,562,0.4014909478168264,YDL153C
7906,367,273,0.5734375,YDL148C
7907,1234,624,0.6641550053821313,YDL145C
7908,584,294,0.6651480637813212,YDL144C
7910,178,285,0.3844492440604752,YDL142C
7913,1351,939,0.5899563318777292,YDL140C
7915,49,42,0.5384615384615384,YDL139C
7919,887,1141,0.4373767258382643,YDL135C
7920,11,19,0.36666666666666653,YDL135C
7921,45,28,0.6164383561643836,YDL134C
7922,1382,1387,0.4990971469844709,YDL134C
7923,8173,3046,0.7284963009180854,YDL133C-A
7924,5,33,0.13157894736842105,YDL133C-A
7925,22,4,0.8461538461538461,YDL133C-A
7926,18,27,0.4,YDL133C-A
7935,878,738,0.5433168316831684,YDL126C
7936,6696,7179,0.4825945945945946,YDL125C
7937,22,3,0.88,YDL125C
7940,2010,2241,0.4728299223712068,YDL121C
7944,110,86,0.5612244897959183,YDL119C
7945,7,2,0.7777777777777778,YDL119C
7948,552,89,0.8611544461778471,YDL115C
7949,11,6,0.6470588235294118,YDL115C
7950,269,236,0.5326732673267327,YDL113C
7951,3086,308,0.9092516205067768,YDL111C
7952,244,197,0.5532879818594104,YDL110C
7953,7,17,0.2916666666666667,YDL109C
7954,42,16,0.7241379310344828,YDL109C
7955,8,13,0.3809523809523809,YDL109C
7956,98,148,0.3983739837398374,YDL106C
7957,9,14,0.39130434782608703,YDL106C
7958,31,46,0.4025974025974026,YDL104C
7959,408,384,0.5151515151515151,YDL103C
7960,208,121,0.6322188449848024,YDL101C
7961,4629,844,0.8457884158596748,YDL100C
7962,242,200,0.5475113122171946,YDL098C
7963,752,550,0.5775729646697388,YDL097C
7964,3,5,0.375,YDL094C
7966,200,166,0.5464480874316939,YDL091C
7968,194,83,0.7003610108303249,YDL090C
7969,34,6,0.85,YDL090C
7970,103,78,0.569060773480663,YDL088C
7971,29,83,0.25892857142857145,YDL088C
7972,68,198,0.2556390977443609,YDL087C
7973,68,41,0.6238532110091743,YDL087C
7974,36,6,0.8571428571428571,YDL086C-A
7975,315,249,0.5585106382978723,YDL085C-A
7979,31127,58217,0.34839496776504303,YDL083C
7981,34070,16984,0.6673326281975948,YDL081C
7983,74,36,0.6727272727272727,YDL080C
7984,95,82,0.536723163841808,YDL080C
7985,43,31,0.581081081081081,YDL079C
7986,24,10,0.7058823529411765,YDL079C
7987,1287,396,0.7647058823529411,YDL078C
7988,35,17,0.6730769230769231,YDL077C
7989,135,103,0.5672268907563025,YDL077C
7990,378,122,0.7559999999999999,YDL076C
7991,25,28,0.4716981132075472,YDL076C
7994,1161,317,0.7855209742895806,YDL074C
7995,3161,415,0.8839485458612976,YDL072C
7996,21,21,0.5,YDL072C
7997,47,84,0.3587786259541985,YDL072C
7998,407,220,0.6491228070175439,YDL069C
7999,1898,1430,0.5703125,YDL067C
8000,5,6,0.4545454545454545,YDL067C
8001,221,91,0.7083333333333334,YDL065C
8002,550,183,0.7503410641200545,YDL063C
8004,26226,7621,0.774839719916093,YDL061C
8006,83,46,0.6434108527131783,YDL059C
8011,9546,7162,0.5713430691884127,YDL055C
8014,106,206,0.33974358974358976,YDL054C
8016,22,7,0.7586206896551724,YDL053C
8017,701,99,0.87625,YDL053C
8018,2015,2027,0.4985155863433944,YDL052C
8021,41,30,0.5774647887323944,YDL049C
8022,8,4,0.6666666666666666,YDL049C
8024,377,926,0.2893323100537222,YDL048C
8025,1,0,1.0,YDL048C
8026,6,17,0.2608695652173913,YDL048C
8027,4,3,0.5714285714285714,YDL048C
8029,15,3,0.8333333333333334,YDL045C
8030,169,250,0.4033412887828162,YDL045C
8031,68,78,0.4657534246575342,YDL044C
8032,92,490,0.15807560137457044,YDL043C
8034,138,138,0.5,YDL042C
8035,1542,420,0.7859327217125383,YDL040C
8037,56,24,0.7,YDL037C
8038,3,1,0.75,YDL037C
8040,68,237,0.22295081967213115,YDL036C
8041,20,16,0.5555555555555556,YDL035C
8042,56,24,0.7,YDL035C
8044,216,133,0.6189111747851003,YDL033C
8046,60,43,0.5825242718446602,YDL028C
8048,115,230,0.3333333333333333,YDL027C
8049,27,17,0.6136363636363636,YDL025C
8050,102,102,0.5,YDL025C
8051,47,27,0.6351351351351351,YDL025C
8052,23,3,0.8846153846153846,YDL024C
8057,29,16,0.6444444444444445,YDL020C
8058,855,505,0.6286764705882353,YDL020C
8059,10,5,0.6666666666666666,YDL019C
8060,288,139,0.6744730679156908,YDL019C
8062,727,268,0.7306532663316583,YDL018C
8063,3329,927,0.7821898496240601,YDL015C
8066,433,451,0.4898190045248869,YDL012C
8067,89,122,0.4218009478672986,YDL012C
8068,123,54,0.6949152542372882,YDL009C
8071,374,89,0.8077753779697624,YDL005C
8074,545,196,0.7354925775978407,YDL002C
8075,13,3,0.8125,YDL002C
8076,108,65,0.6242774566473989,YDR001C
8077,411,384,0.5169811320754717,YDR001C
8080,255,298,0.461121157323689,YDR005C
8081,454,280,0.6185286103542235,YDR006C
8083,10,8,0.5555555555555556,YDR008C
8088,547,83,0.8682539682539683,YDR016C
8091,134,63,0.6802030456852792,YDR017C
8092,20,40,0.3333333333333333,YDR017C
8093,56,21,0.7272727272727273,YDR018C
8094,1097,369,0.7482946793997272,YDR019C
8095,0,2,0.0,YDR019C
8096,5,6,0.4545454545454545,YDR019C
8098,362,234,0.6073825503355704,YDR020C
