ID,cap,uncap,dcp2_1,Assigned_gene_name
2,9,6,0.6,YAL066W
3,141,61,0.698019801980198,YAL064W-B
13,30,3,0.9090909090909092,YAL062W
14,94,91,0.5081081081081081,YAL062W
15,9,8,0.5294117647058824,YAL062W
19,86,38,0.6935483870967742,YAL061W
23,644,724,0.4707602339181287,YAL060W
25,622,928,0.4012903225806452,YAL059W
27,138,46,0.75,YAL058W
28,115,167,0.4078014184397163,YAL056W
29,132,39,0.7719298245614035,YAL055W
33,1064,1355,0.4398511781727987,YAL053W
36,73,157,0.3173913043478261,YAL051W
39,13,15,0.4642857142857143,YAL044W-A
40,80,35,0.6956521739130435,YAL044W-A
41,2033,2624,0.4365471333476487,YAL044W-A
42,2402,632,0.7916941331575478,YAL042W
46,61,270,0.18429003021148035,YAL041W
51,18,39,0.3157894736842105,YAL038W
52,32357,2703,0.9229035938391328,YAL038W
58,16,12,0.5714285714285714,YAL037W
59,48,39,0.5517241379310345,YAL037W
61,1433,543,0.7252024291497976,YAL035W
64,95,185,0.3392857142857143,YAL034W-A
66,796,242,0.766859344894027,YAL033W
67,412,301,0.5778401122019635,YAL030W
68,25,15,0.625,YAL028W
69,111,80,0.5811518324607329,YAL028W
70,225,202,0.5269320843091335,YAL027W
74,572,317,0.6434195725534309,YAL019W
75,281,66,0.8097982708933718,YAL017W
76,14,7,0.6666666666666666,YAL017W
77,34,39,0.4657534246575342,YAL017W
78,1212,1056,0.5343915343915344,YAL016W
79,111,169,0.3964285714285714,YAL013W
81,13592,5031,0.7298501852547925,YAL012W
84,76,73,0.5100671140939598,YAL011W
86,184,149,0.5525525525525525,YAL009W
87,352,294,0.5448916408668729,YAL008W
91,30,63,0.3225806451612903,YAL003W
92,13405,5782,0.6986501276906238,YAL003W
96,130,271,0.3241895261845387,YAL002W
98,252,243,0.509090909090909,YAR002W
99,146,132,0.5251798561151079,YAR003W
100,302,196,0.606425702811245,YAR008W
102,999,825,0.5476973684210527,YAR015W
105,2,0,1.0,YAR019W-A
110,38,4,0.9047619047619048,YAR027W
111,326,406,0.4453551912568306,YAR027W
114,295,276,0.5166374781085814,YAR028W
115,8,4,0.6666666666666666,YAR029W
116,0,1,0.0,YAR029W
120,369,294,0.5565610859728507,YAR033W
122,6,4,0.6,YAR035W
126,231,124,0.6507042253521127,YAR042W
129,21,32,0.3962264150943397,YAR075W
130,224,380,0.3708609271523179,YBL102W
131,41,43,0.4880952380952381,YBL100W-A
133,1828,1770,0.5080600333518621,YBL099W
134,14,0,1.0,YBL099W
135,102,23,0.816,YBL098W
138,66,26,0.7173913043478259,YBL097W
140,265,111,0.7047872340425532,YBL095W
141,17808,14560,0.5501730103806228,YBL092W
146,657,2085,0.2396061269146608,YBL090W
147,285,425,0.4014084507042254,YBL089W
148,186,709,0.20782122905027933,YBL085W
149,816,300,0.7311827956989247,YBL081W
150,8,12,0.4,YBL081W
154,532,673,0.4414937759336099,YBL079W
156,2555,1119,0.6954273271638541,YBL071W-A
157,358,137,0.7232323232323232,YBL069W
159,1033,691,0.5991879350348028,YBL068W
160,51,74,0.408,YBL063W
161,126,83,0.6028708133971292,YBL060W
162,70,68,0.5072463768115942,YBL060W
164,778,351,0.6891054030115146,YBL058W
165,543,399,0.5764331210191083,YBL056W
166,45,24,0.6521739130434783,YBL054W
167,6,4,0.6,YBL054W
168,15,52,0.22388059701492535,YBL054W
169,54,184,0.22689075630252103,YBL054W
