ID,wt_a,dhh_a
14,0.7377655828538779,0.4472555746140652
23,0.6658263659496452,0.3602834302325581
25,0.6214341617643248,0.2456101730305229
27,0.86,0.7843137254901961
28,0.575461915535445,0.2148219648219648
33,0.5620057940284173,0.35609765452697395
36,0.39026915113871635,0.25476514635806674
41,0.5933974639265414,0.23782635386172996
42,0.8738291488911369,0.7146600189334475
46,0.29592237112157427,0.1131209839625496
52,0.9677269732187743,0.8508952141411981
59,0.6172235023041475,0.4027777777777778
61,0.8241237555223577,0.6024836125189308
64,0.47880076362374174,0.17260264789676555
66,0.8277163839303703,0.5965573573933636
67,0.6823392444872179,0.40825137331008843
70,0.6651735836024946,0.43268417397891545
74,0.8132223763291724,0.43830646960137676
78,0.6297382531614183,0.3626625607968268
79,0.44117347976408383,0.2800033455205869
81,0.869612782813044,0.5453340795223605
84,0.6289432587194169,0.5212623613909352
86,0.658564763712894,0.37236698392885004
87,0.7311229473880076,0.38451825645712845
92,0.7933536977653197,0.6069593668001186
96,0.4896738081451457,0.1918452736743233
98,0.5533110156463269,0.3449545078577336
99,0.7047644005191175,0.3937007874015749
100,0.6828820417055711,0.2878846451213855
102,0.5791690908699119,0.42280381592414495
111,0.6465618327557843,0.4010481577349567
114,0.6698526933605149,0.34697832899600656
120,0.7118448637316561,0.38499712313003454
126,0.7016133462742872,0.5612324653420544
130,0.5684053454080358,0.1787037037037037
133,0.6420742071453661,0.35818111136589004
135,0.7981533426834969,0.7197802197802198
140,0.7775443510737629,0.5552808359768614
141,0.6440627927508713,0.43827809591974143
146,0.35911801964909984,0.17075977418926563
147,0.6019019987105093,0.2686428363847719
148,0.356348035667474,0.09748784231220253
149,0.8239442615180361,0.5842547092547092
154,0.5714718272775144,0.3703000507025931
156,0.7805252692256134,0.5420918424575073
157,0.8643622260526964,0.4833410114928087
159,0.7487327162707562,0.4520325978776263
160,0.6220238095238095,0.2367504542701393
162,0.6568627450980392,0.4280388416854517
164,0.8084890444101204,0.45709264142231987
165,0.7287599551692657,0.5385954841178722
169,0.23990683229813664,0.15228381929670878
174,0.6129692418000413,0.2545125483077534
178,0.6615188361741396,0.41357691725338785
182,0.6652298850574713,0.37886183701410797
183,0.8896489772254882,0.6639045530492899
185,0.6669772256728779,0.4526457918086543
187,0.6868954517390409,0.4913562805291689
188,0.5550920509820824,0.2902262879152624
190,0.5679597342361336,0.2988309746627014
191,0.4706168042739194,0.2080536912751678
194,0.6330787537156158,0.2698770354273639
199,0.6933399554454014,0.42923948137139345
200,0.8705882352941177,0.7572368421052631
201,0.8899634644315495,0.7052659983215539
203,0.7339488108509848,0.4429740061794238
205,0.6689189189189189,
208,0.8359978523136937,0.6426112989147219
210,0.8671346737054926,0.7292447302467342
213,0.6290322580645161,0.5576923076923077
215,0.7718264639402288,0.5395014472540629
218,0.8253061747009374,0.4260082186544343
222,0.7689342403628118,0.393524699599466
224,0.46747437092264676,0.21350021264961422
225,0.5252597786601335,0.2875997242194426
229,0.6834957075974861,0.516350522178479
230,0.7905232845714578,0.6836932836312786
234,0.8124669029288362,0.4660464376590331
236,0.6873165328163944,0.4349128736529726
239,0.7032750030380363,0.47711146200817495
248,0.4401075552527485,0.16284116251424335
251,0.7184914072767805,0.4739825384278251
254,0.7237404378791875,0.5176111767020858
255,0.7176863123771424,0.5313786722183669
258,0.5218166175024582,0.418338683788122
260,0.753124552356396,0.32536873156342183
261,0.7726705120538226,0.47506422092391903
273,0.6298811130129638,0.40411620801584314
276,0.7591181948780938,0.6168760412049448
278,0.8086970845835699,0.5014504219409283
288,0.5774152847873107,
289,0.8332332483176881,0.6885887516277873
298,0.6648387624815846,
299,0.634232939736139,0.321277334465747
301,0.6075577889447237,0.359500880457709
305,0.6330644654680688,0.34629675846728664
313,0.6709543879708637,0.2874198380601236
318,0.7379822412737292,0.4554340595718122
320,0.8328021225944444,0.5729397566126924
321,0.670308602780477,0.3939492795389049
324,0.49449823124884973,0.3102409664374562
331,0.40578255392851514,0.21452531017748408
333,0.7588228099458962,0.49948150708606986
334,0.7180260734709702,0.4578313253012048
339,0.8652765609485427,0.7121124041343558
344,0.7510198878123406,0.5135321100917432
345,0.32260529168354446,0.09297752388927936
346,0.8283295964125561,0.5571024258760108
348,0.5951687220490582,0.27258823529411763
350,0.6960574085475892,0.5608708114770545
352,0.7324132637962012,0.3542080954902434
356,0.6388888888888888,0.5060728744939271
357,0.6734745019421124,0.261882072662299
358,0.7898115257276865,0.42362148705651703
360,0.7823282222364791,0.46292520969245105
362,0.8608247422680413,0.5867497407311382
367,0.760738966552331,0.40421448971959895
369,0.5721040189125295,0.20164823248752983
373,0.8194792372564079,0.6818222866765473
376,0.7509803921568627,0.4095452273863068
378,0.6669260300597535,0.4018178942877738
379,0.6700167504187604,0.4548395445134576
381,0.9402292390414445,0.8129700989854055
384,0.8930190632469528,0.5015135620697566
385,0.775,0.5983598875351452
386,0.41662528107712893,0.3515194523292703
388,0.5815039738495065,0.1695836648103951
390,0.3900234324888009,0.2095140087895748
393,0.5667238650337953,0.4134534725983731
394,0.7239864824522646,0.5543398875072324
398,0.7810808488701779,0.52318328439294
400,0.730591484847186,0.4598968268894919
407,0.8811434762779227,0.7396340135066444
408,0.7086951917806457,0.635290777908784
409,0.5233006280614239,0.27497743360729726
410,0.6748745399799264,0.4346698113207547
413,0.6649653149850544,0.37019839594765724
414,0.9015485794680023,0.7138331936481777
415,0.5694628099173553,0.3732142857142857
418,0.81947762382545,0.6531610565251551
424,0.7711046250561293,0.5676436781609195
426,0.5594156726346476,0.409532764853887
429,0.6788890725739791,0.480330608537693
431,0.7808107396683338,0.5591457960644007
436,0.8795723089099955,0.6747443070233224
440,0.7120442473836014,0.45013762083780884
441,0.6284615506004638,0.4168517611375425
444,0.6222082596907386,0.3558937378996317
446,0.8753423975297574,0.7119419042495965
447,0.5176651305683564,0.3712797619047619
454,0.7441173444011868,0.5151099548760919
455,0.6494749322493225,0.3950305607228275
456,0.5186154741128564,0.2932381426105275
458,0.6110285659509203,0.463936487241572
464,0.8830935790191415,0.7251515151515151
465,0.4906676302496974,0.19568709225618675
468,0.6856819650937298,0.49235419630156474
469,0.8491582093261969,0.6522442886047105
471,0.7460945425035505,0.5541096522029041
472,0.7317073170731707,0.5383333333333333
473,0.883623084861475,0.5811597622498623
480,0.5525428126621692,
482,0.14097744360902256,0.04525372995800172
484,0.5030673263720252,0.2785636905299269
485,0.8040665810512607,0.6129738958714748
486,0.2544738725841088,0.0907422240021359
491,0.49827110780408806,0.34638474295190713
494,0.7502068711882068,0.5781356818273213
495,0.5671331604636973,0.27993197278911564
499,0.7386559139784946,0.586402681751519
500,0.9057202667744706,0.7993838391189385
502,0.7078303415462612,0.413562762592645
503,0.4435209749626927,0.19692500481974168
507,0.8409590175741861,0.5870527421905682
508,0.5773467039289824,0.5208333333333334
509,0.7384063906651469,0.5210261311664266
510,0.6952140275478469,0.3366604932766011
511,0.5833484162895928,0.35388053467000835
513,0.48731722986343406,0.2993054141996997
517,0.4726530005941771,0.17170089944959055
518,0.8544675814476007,0.6327900912646676
519,0.6270770603323297,0.3865031577295729
522,0.7701504696185547,0.3957379266299754
526,0.40516393614127594,0.13870202088702022
532,0.5723954784792636,0.2982731280603621
535,0.7961742201077061,0.6658687819784777
542,0.7356423862665886,0.417396449704142
546,0.7391304347826086,0.5872201492537313
553,0.6538573366931576,0.4517953507679535
557,0.7965487382483919,0.6210406604515332
565,0.5992814024992242,0.2870572463234994
566,0.9345987159386941,0.7611036413899234
569,0.5580275081138524,0.2641843998371213
570,0.6406937287922584,0.36886016659717724
577,0.6291626674888811,0.30439747207814605
578,0.8743520733652312,0.5315113717956181
579,0.6373885918003566,0.44207957957957955
