ID,wt1,Assigned_gene_name,wt2,pat1_1,pat1_2
14,0.7244582043343654,YAL062W,0.7510729613733905,0.5070921985815603,0.5304054054054054
23,0.6815286624203821,YAL060W,0.6501240694789082,0.4653809674359785,0.5130272952853598
25,0.6394640682095006,YAL059W,0.6034042553191489,0.30727611940298505,0.3486422453070895
27,0.86,YAL058W,,0.7028571428571428,0.76
28,0.5980392156862745,YAL056W,0.5528846153846154,0.3043478260869565,0.3446601941747573
33,0.5503315250150693,YAL053W,0.5736800630417652,0.3870703764320785,0.4334664005322688
36,0.36024844720496896,YAL051W,0.42028985507246375,0.1941747572815534,0.2681992337164751
41,0.6,YAL044W-A,0.5867949278530826,0.3084217656355837,0.3521473832433701
42,0.8730684326710817,YAL042W,0.8745898651111921,0.7526768209923088,0.7749171936163806
46,0.26515151515151514,YAL041W,0.32669322709163345,0.1337579617834395,0.18485915492957747
52,0.9677580761172092,YAL038W,0.9676958703203395,0.9067948797339018,0.909421104314802
59,0.6451612903225806,YAL037W,0.5892857142857143,0.4453781512605042,0.4070796460176992
61,0.8182669789227166,YAL035W,0.8299805321219987,0.6831481061465184,0.6942046855733662
64,0.4738805970149254,YAL034W-A,0.4837209302325581,0.2173202614379085,0.2833607907742998
66,0.8239110287303059,YAL033W,0.8315217391304348,0.7069143446852425,0.7485855728429985
67,0.6831432192648923,YAL030W,0.6815352697095436,0.4731420161883738,0.5158597662771286
70,0.6691449814126395,YAL027W,0.6612021857923497,0.4234135667396061,0.5128504672897196
74,0.8169209431345353,YAL019W,0.8095238095238095,0.5124099279423538,0.6075224856909239
78,0.6241554054054054,YAL016W,0.6353211009174312,0.446885617214043,0.5128781684382666
79,0.4429530201342282,YAL013W,0.4393939393939394,0.2938775510204082,0.33976833976833976
81,0.8705739412173108,YAL012W,0.8686516244087772,0.6488034851107,0.7080541953315108
84,0.6814159292035398,YAL011W,0.5764705882352941,0.4837209302325581,0.5502183406113537
86,0.64576802507837,YAL009W,0.6713615023474179,0.5516304347826086,0.5109809663250366
87,0.7200772200772201,YAL008W,0.7421686746987952,0.5220588235294118,0.558023745691306
92,0.7954942979080669,YAL003W,0.7912130976225725,0.645377156644057,0.6861187095653685
96,0.4490445859872612,YAL002W,0.5303030303030303,0.24822695035460995,0.2793017456359102
98,0.5667447306791569,YAR002W,0.5398773006134969,0.45380434782608703,0.4942648592283629
99,0.7216981132075472,YAR003W,0.6878306878306878,0.4505263157894737,0.5202702702702703
100,0.6694677871148459,YAR008W,0.6962962962962963,0.4209274673008324,0.5049073064340239
102,0.5991983967935872,YAR015W,0.5591397849462365,0.4672992206031854,0.5190334326381992
111,0.6544943820224719,YAR027W,0.6386292834890965,0.4557823129251701,0.4673913043478261
114,0.6974459724950884,YAR028W,0.6422594142259415,0.493642483171279,0.504774897680764
120,0.7444444444444445,YAR033W,0.6792452830188679,0.4619047619047619,0.5469061876247505
126,0.6840148698884758,YAR042W,0.7192118226600985,0.5,0.5485232067510548
130,0.5830258302583026,YBL102W,0.5537848605577689,0.2392638036809816,0.3219315895372233
133,0.6374092838559496,YBL099W,0.6467391304347826,0.45243084660519706,0.4911832353692819
135,0.8064516129032258,YBL098W,0.7898550724637681,0.7377049180327869,0.6755725190839694
140,0.7777777777777778,YBL095W,0.7773109243697479,0.6764705882352942,0.668693009118541
141,0.6391964148599031,YBL092W,0.6489291706418396,0.5001507184244901,0.5348811188811189
146,0.35787567893783945,YBL090W,0.3603603603603603,0.20327788649706446,0.2450910811450201
147,0.5886524822695035,YBL089W,0.6151515151515151,0.4041570438799077,0.41570438799076215
