ID,wt_a,xrn_a
14,0.7377655828538779,0.5654871323529411
23,0.6658263659496452,0.6015928515928516
25,0.6214341617643248,0.4734909224188557
27,0.86,0.8032580214564691
28,0.575461915535445,0.5200441239776152
33,0.5620057940284173,0.4571014492753623
36,0.39026915113871635,0.3335811878427364
41,0.5933974639265414,0.5013670454560564
42,0.8738291488911369,0.8182737896173595
46,0.29592237112157427,0.23375118310101528
52,0.9677269732187743,0.9393496223882809
59,0.6172235023041475,0.5354938271604939
61,0.8241237555223577,0.7791991829876567
64,0.47880076362374174,0.3782682512733447
66,0.8277163839303703,0.7638017134741375
67,0.6823392444872179,0.6438350785340314
70,0.6651735836024946,0.5578330779825742
74,0.8132223763291724,0.7330423013152108
78,0.6297382531614183,0.6140212448622273
79,0.44117347976408383,0.4128817196735154
81,0.869612782813044,0.7823965021967512
84,0.6289432587194169,0.5365838885523925
86,0.658564763712894,0.5989086934133143
87,0.7311229473880076,0.644987802173431
92,0.7933536977653197,0.689640069938404
96,0.4896738081451457,0.4256172839506173
98,0.5533110156463269,0.5356912144702842
99,0.7047644005191175,0.6343520396664413
100,0.6828820417055711,0.6408788502536205
102,0.5791690908699119,0.5307215706550977
111,0.6465618327557843,0.5307051002615519
114,0.6698526933605149,0.612510326881332
120,0.7118448637316561,0.6390736415047946
126,0.7016133462742872,0.6182539682539683
130,0.5684053454080358,0.48312626172663575
133,0.6420742071453661,0.5894497328285631
135,0.7981533426834969,0.7412280701754386
140,0.7775443510737629,0.756751294871411
141,0.6440627927508713,0.596620561877046
146,0.35911801964909984,0.312889640982251
147,0.6019019987105093,0.5023998989516231
148,0.356348035667474,0.25953035116338974
149,0.8239442615180361,0.7676827120554464
154,0.5714718272775144,0.4720193799631037
156,0.7805252692256134,0.7141375445880583
157,0.8643622260526964,0.8026029910079453
159,0.7487327162707562,0.7209890555015614
160,0.6220238095238095,0.45145089285714285
162,0.6568627450980392,0.535605117174233
164,0.8084890444101204,0.7586942698525276
165,0.7287599551692657,0.5897538590170317
169,0.23990683229813664,0.2502693701635812
174,0.6129692418000413,0.513878442922262
178,0.6615188361741396,0.6286760613548832
182,0.6652298850574713,0.6529173276925788
183,0.8896489772254882,0.8553169010535013
185,0.6669772256728779,0.532722544947102
187,0.6868954517390409,0.6198094227696448
188,0.5550920509820824,0.49249555591467353
190,0.5679597342361336,0.5010346015545938
191,0.4706168042739194,0.29771816219549796
194,0.6330787537156158,0.48204341998744027
199,0.6933399554454014,0.6786262650656609
200,0.8705882352941177,0.87284238328284
201,0.8899634644315495,0.848878786398539
203,0.7339488108509848,0.728670153322506
205,0.6689189189189189,0.6003236245954693
208,0.8359978523136937,0.7982563185612017
210,0.8671346737054926,0.853855489171023
213,0.6290322580645161,0.5069776714513556
215,0.7718264639402288,0.6853046477936636
218,0.8253061747009374,0.6919399188836186
222,0.7689342403628118,0.631399862982416
224,0.46747437092264676,0.544561403508772
225,0.5252597786601335,0.46153263668029687
229,0.6834957075974861,0.6587447478991597
230,0.7905232845714578,0.756631729884309
234,0.8124669029288362,0.7751924901474236
236,0.6873165328163944,0.6665016034423885
239,0.7032750030380363,0.7309617718446602
248,0.4401075552527485,0.3464728801969691
251,0.7184914072767805,0.613557712958082
254,0.7237404378791875,0.7202354482167547
255,0.7176863123771424,0.6726685540526371
258,0.5218166175024582,0.5381650723377343
260,0.753124552356396,0.6636088550181952
261,0.7726705120538226,0.6939727749963771
273,0.6298811130129638,0.5861900974348777
276,0.7591181948780938,0.7572536602655279
278,0.8086970845835699,0.7217215845109866
288,0.5774152847873107,0.48157476139978794
289,0.8332332483176881,0.765589142099361
298,0.6648387624815846,0.5594405594405594
299,0.634232939736139,0.5912762316586964
301,0.6075577889447237,0.5576645685811696
305,0.6330644654680688,0.6036500475963826
313,0.6709543879708637,0.4788186764964016
318,0.7379822412737292,0.6725569052590437
320,0.8328021225944444,0.8100429369496593
321,0.670308602780477,0.5592193382120595
324,0.49449823124884973,0.42740617419965515
331,0.40578255392851514,0.3565996448621599
333,0.7588228099458962,0.7043728394943237
334,0.7180260734709702,0.7080195085813064
339,0.8652765609485427,0.764139899026853
344,0.7510198878123406,0.750223097112861
345,0.32260529168354446,0.21786362426577688
346,0.8283295964125561,0.7951914083916536
348,0.5951687220490582,0.3671081277213353
350,0.6960574085475892,0.6553720024548958
352,0.7324132637962012,0.6509645558685591
356,0.6388888888888888,0.6469139379889887
357,0.6734745019421124,0.5925753435999338
358,0.7898115257276865,0.757071327032785
360,0.7823282222364791,0.6897253558841822
362,0.8608247422680413,0.8396937795045327
367,0.760738966552331,0.677615764070097
369,0.5721040189125295,0.5212935904928891
373,0.8194792372564079,0.7937822006590326
376,0.7509803921568627,0.6207924481430878
378,0.6669260300597535,0.6347765728953847
379,0.6700167504187604,0.5364353079870321
381,0.9402292390414445,0.9120254008579967
384,0.8930190632469528,0.814853715267493
385,0.775,0.7292438866258089
386,0.41662528107712893,0.39436905376502696
388,0.5815039738495065,0.42410942871772367
390,0.3900234324888009,0.3308621524458483
393,0.5667238650337953,0.5068887236648851
394,0.7239864824522646,0.7039400788902185
398,0.7810808488701779,0.7435273372632492
