ID,wt1,Assigned_gene_name,wt2,dcp2_1,dcp2_2
14,0.7244582043343654,YAL062W,0.7510729613733905,0.5081081081081081,0.4869109947643979
23,0.6815286624203821,YAL060W,0.6501240694789082,0.4707602339181287,0.4335297969875573
25,0.6394640682095006,YAL059W,0.6034042553191489,0.4012903225806452,0.33270794246404
27,0.86,YAL058W,,0.75,0.6528497409326425
28,0.5980392156862745,YAL056W,0.5528846153846154,0.4078014184397163,0.3346007604562737
33,0.5503315250150693,YAL053W,0.5736800630417652,0.4398511781727987,0.417296389588581
36,0.36024844720496896,YAL051W,0.42028985507246375,0.3173913043478261,0.2706422018348624
41,0.6,YAL044W-A,0.5867949278530826,0.4365471333476487,0.3630244559120485
42,0.8730684326710817,YAL042W,0.8745898651111921,0.7916941331575478,0.7605633802816901
46,0.26515151515151514,YAL041W,0.32669322709163345,0.18429003021148035,0.1836734693877551
52,0.9677580761172092,YAL038W,0.9676958703203395,0.9229035938391328,0.904197263352193
59,0.6451612903225806,YAL037W,0.5892857142857143,0.5517241379310345,0.4827586206896552
61,0.8182669789227166,YAL035W,0.8299805321219987,0.7252024291497976,0.7062339880444065
64,0.4738805970149254,YAL034W-A,0.4837209302325581,0.3392857142857143,0.3003300330033004
66,0.8239110287303059,YAL033W,0.8315217391304348,0.766859344894027,0.7387914230019493
67,0.6831432192648923,YAL030W,0.6815352697095436,0.5778401122019635,0.5486725663716814
70,0.6691449814126395,YAL027W,0.6612021857923497,0.5269320843091335,0.5040431266846361
74,0.8169209431345353,YAL019W,0.8095238095238095,0.6434195725534309,0.5665280665280665
78,0.6241554054054054,YAL016W,0.6353211009174312,0.5343915343915344,0.4597989949748744
79,0.4429530201342282,YAL013W,0.4393939393939394,0.3964285714285714,0.2857142857142857
81,0.8705739412173108,YAL012W,0.8686516244087772,0.7298501852547925,0.6670308387545315
84,0.6814159292035398,YAL011W,0.5764705882352941,0.5100671140939598,0.5286624203821656
86,0.64576802507837,YAL009W,0.6713615023474179,0.5525525525525525,0.5535714285714286
87,0.7200772200772201,YAL008W,0.7421686746987952,0.5448916408668729,0.5324881141045958
92,0.7954942979080669,YAL003W,0.7912130976225725,0.6986501276906238,0.6589394378441031
96,0.4490445859872612,YAL002W,0.5303030303030303,0.3241895261845387,0.3133333333333333
98,0.5667447306791569,YAR002W,0.5398773006134969,0.509090909090909,0.4471910112359551
99,0.7216981132075472,YAR003W,0.6878306878306878,0.5251798561151079,0.4368231046931408
100,0.6694677871148459,YAR008W,0.6962962962962963,0.606425702811245,0.495850622406639
102,0.5991983967935872,YAR015W,0.5591397849462365,0.5476973684210527,0.5026371308016878
111,0.6544943820224719,YAR027W,0.6386292834890965,0.4453551912568306,0.3903903903903904
114,0.6974459724950884,YAR028W,0.6422594142259415,0.5166374781085814,0.473015873015873
120,0.7444444444444445,YAR033W,0.6792452830188679,0.5565610859728507,0.4804630969609262
126,0.6840148698884758,YAR042W,0.7192118226600985,0.6507042253521127,0.5924855491329479
130,0.5830258302583026,YBL102W,0.5537848605577689,0.3708609271523179,0.28691275167785235
133,0.6374092838559496,YBL099W,0.6467391304347826,0.5080600333518621,0.4626865671641791
135,0.8064516129032258,YBL098W,0.7898550724637681,0.816,0.7
140,0.7777777777777778,YBL095W,0.7773109243697479,0.7047872340425532,0.6309794988610479
141,0.6391964148599031,YBL092W,0.6489291706418396,0.5501730103806228,0.5129031103475429
146,0.35787567893783945,YBL090W,0.3603603603603603,0.2396061269146608,0.18342776203966005
147,0.5886524822695035,YBL089W,0.6151515151515151,0.4014084507042254,0.3490566037735849
148,0.36930860033726814,YBL085W,0.3433874709976798,0.20782122905027933,0.14994363021420518
149,0.8268733850129198,YBL081W,0.8210151380231523,0.7311827956989247,0.6975206611570248
154,0.5777777777777777,YBL079W,0.5651658767772512,0.4414937759336099,0.4453280318091452
156,0.7717391304347826,YBL071W-A,0.7893114080164442,0.6954273271638541,0.6395998823183289
157,0.8625954198473282,YBL069W,0.8661290322580645,0.7232323232323232,0.6493506493506493
159,0.7398218829516541,YBL068W,0.7576435495898584,0.5991879350348028,0.5411078717201167
160,0.6190476190476191,YBL063W,0.625,0.408,0.29896907216494845
162,0.6568627450980392,YBL060W,,0.5072463768115942,0.5367647058823529
164,0.8116089613034623,YBL058W,0.8053691275167785,0.6891054030115146,0.6226415094339622
165,0.7398496240601504,YBL056W,0.717670286278381,0.5764331210191083,0.5339074273412271
169,0.2298136645962733,YBL054W,0.25,0.22689075630252106,0.1732283464566929
174,0.6151761517615176,YBL050W,0.610762331838565,0.4083044982698962,0.3721474546518432
178,0.6754966887417219,YBL046W,0.6475409836065574,0.5742574257425742,0.4829268292682927
182,0.6637931034482759,YBL041W,0.6666666666666666,0.6086956521739131,0.504950495049505
183,0.896029471960704,YBL041W,0.8832684824902723,0.812702527543746,0.7685060565275909
