ID,wt1,Assigned_gene_name,wt2,dhh1_1,dhh1_2
14,0.7244582043343654,YAL062W,0.7510729613733905,0.5454545454545454,0.3490566037735849
23,0.6815286624203821,YAL060W,0.6501240694789082,0.4212880143112701,0.2992788461538461
25,0.6394640682095006,YAL059W,0.6034042553191489,0.2831086439333862,0.2081117021276596
27,0.86,YAL058W,,0.7843137254901961,
28,0.5980392156862745,YAL056W,0.5528846153846154,0.25396825396825395,0.17567567567567569
33,0.5503315250150693,YAL053W,0.5736800630417652,0.3898509867096255,0.3223443223443224
36,0.36024844720496896,YAL051W,0.42028985507246375,0.27876106194690264,0.2307692307692308
41,0.6,YAL044W-A,0.5867949278530826,0.2939550949913644,0.1816976127320955
42,0.8730684326710817,YAL042W,0.8745898651111921,0.7566874312935141,0.6726326065733811
46,0.26515151515151514,YAL041W,0.32669322709163345,0.1448087431693989,0.08143322475570032
52,0.9677580761172092,YAL038W,0.9676958703203395,0.8845155231466136,0.8172749051357826
59,0.6451612903225806,YAL037W,0.5892857142857143,0.4027777777777778,
61,0.8182669789227166,YAL035W,0.8299805321219987,0.6525900045571927,0.5523772204806687
64,0.4738805970149254,YAL034W-A,0.4837209302325581,0.2123076923076923,0.1328976034858388
66,0.8239110287303059,YAL033W,0.8315217391304348,0.6712328767123288,0.5218818380743983
67,0.6831432192648923,YAL030W,0.6815352697095436,0.4501661129568105,0.3663366336633663
70,0.6691449814126395,YAL027W,0.6612021857923497,0.4575342465753425,0.4078341013824885
74,0.8169209431345353,YAL019W,0.8095238095238095,0.510353227771011,0.3662597114317425
78,0.6241554054054054,YAL016W,0.6353211009174312,0.4367903103709311,0.28853481122272256
79,0.4429530201342282,YAL013W,0.4393939393939394,0.33471933471933474,0.2252873563218391
81,0.8705739412173108,YAL012W,0.8686516244087772,0.6175141897370555,0.4731539693076653
84,0.6814159292035398,YAL011W,0.5764705882352941,0.5603112840466926,0.4822134387351778
86,0.64576802507837,YAL009W,0.6713615023474179,0.4343891402714932,0.3103448275862069
87,0.7200772200772201,YAL008W,0.7421686746987952,0.4460028050490884,0.3230337078651685
92,0.7954942979080669,YAL003W,0.7912130976225725,0.62278514240714,0.5911335911930973
96,0.4490445859872612,YAL002W,0.5303030303030303,0.2163265306122449,0.16736401673640167
98,0.5667447306791569,YAR002W,0.5398773006134969,0.3924731182795699,0.29743589743589743
99,0.7216981132075472,YAR003W,0.6878306878306878,0.4803149606299213,0.3070866141732284
100,0.6694677871148459,YAR008W,0.6962962962962963,0.3448275862068966,0.23094170403587444
102,0.5991983967935872,YAR015W,0.5591397849462365,0.4667458432304038,0.37886178861788616
111,0.6544943820224719,YAR027W,0.6386292834890965,0.459016393442623,0.34307992202729043
114,0.6974459724950884,YAR028W,0.6422594142259415,0.4058721934369603,0.2880844645550528
120,0.7444444444444445,YAR033W,0.6792452830188679,0.4772727272727273,0.2927215189873418
126,0.6840148698884758,YAR042W,0.7192118226600985,0.6156156156156156,0.5068493150684932
130,0.5830258302583026,YBL102W,0.5537848605577689,0.23703703703703705,0.12037037037037035
133,0.6374092838559496,YBL099W,0.6467391304347826,0.41019456504261137,0.3061676576891687
135,0.8064516129032258,YBL098W,0.7898550724637681,0.7252747252747253,0.7142857142857143
140,0.7777777777777778,YBL095W,0.7773109243697479,0.5869565217391305,0.5236051502145923
141,0.6391964148599031,YBL092W,0.6489291706418396,0.48751677852349,0.3890394133159929
146,0.35787567893783945,YBL090W,0.3603603603603603,0.2083843329253366,0.13313521545319465
147,0.5886524822695035,YBL089W,0.6151515151515151,0.33513513513513515,0.2021505376344086
148,0.36930860033726814,YBL085W,0.3433874709976798,0.10615989515072084,0.08881578947368421
149,0.8268733850129198,YBL081W,0.8210151380231523,0.6519246519246519,0.5165847665847666
154,0.5777777777777777,YBL079W,0.5651658767772512,0.4263888888888889,0.31421121251629724
156,0.7717391304347826,YBL071W-A,0.7893114080164442,0.6067270375161707,0.4774566473988439
157,0.8625954198473282,YBL069W,0.8661290322580645,0.5883668903803132,0.3783151326053042
159,0.7398218829516541,YBL068W,0.7576435495898584,0.4817320703653586,0.4223331253898939
160,0.6190476190476191,YBL063W,0.625,0.28846153846153844,0.18503937007874016
162,0.6568627450980392,YBL060W,,0.4177215189873418,0.4383561643835616
164,0.8116089613034623,YBL058W,0.8053691275167785,0.5345429169574321,0.3796423658872077
165,0.7398496240601504,YBL056W,0.717670286278381,0.6025641025641025,0.4746268656716418
169,0.2298136645962733,YBL054W,0.25,0.16030534351145034,0.14426229508196722
174,0.6151761517615176,YBL050W,0.610762331838565,0.3142701525054466,0.1947549441100602
178,0.6754966887417219,YBL046W,0.6475409836065574,0.4966216216216216,0.33053221288515405
182,0.6637931034482759,YBL041W,0.6666666666666666,0.4392523364485981,0.3184713375796178
183,0.896029471960704,YBL041W,0.8832684824902723,0.7174707602339181,0.6103383458646616
185,0.7434782608695653,YBL039W-B,0.5904761904761905,0.5145631067961165,0.3907284768211921
187,0.6569767441860465,YBL038W,0.7168141592920354,0.5463182897862233,0.43639427127211455
188,0.587248322147651,YBL037W,0.5229357798165137,0.3223880597014925,0.25806451612903225
