ID,wt_a,pat_a
14,0.7377655828538779,0.5187488019934828
23,0.6658263659496452,0.4892041313606692
25,0.6214341617643248,0.3279591823550373
27,0.86,0.7314285714285714
28,0.575461915535445,0.3245040101308569
33,0.5620057940284173,0.4102683884821736
36,0.39026915113871635,0.23118699549901423
41,0.5933974639265414,0.3302845744394769
42,0.8738291488911369,0.7637970073043447
46,0.29592237112157427,0.15930855835650848
52,0.9677269732187743,0.9081079920243519
59,0.6172235023041475,0.4262288986391017
61,0.8241237555223577,0.6886763958599423
64,0.47880076362374174,0.25034052610610413
66,0.8277163839303703,0.7277499587641205
67,0.6823392444872179,0.4945008912327512
70,0.6651735836024946,0.4681320170146629
74,0.8132223763291724,0.5599662068166389
78,0.6297382531614183,0.4798818928261548
79,0.44117347976408383,0.31682294539437394
81,0.869612782813044,0.6784288402211054
84,0.6289432587194169,0.5169696354219558
86,0.658564763712894,0.5313057005538226
87,0.7311229473880076,0.5400412846103588
92,0.7933536977653197,0.6657479331047127
96,0.4896738081451457,0.26376434799526005
98,0.5533110156463269,0.47403460352722493
99,0.7047644005191175,0.48539829302987203
100,0.6828820417055711,0.46291738686742817
102,0.5791690908699119,0.4931663266206923
111,0.6465618327557843,0.4615868086364981
114,0.6698526933605149,0.49920869042602145
120,0.7118448637316561,0.5044054747647562
126,0.7016133462742872,0.5242616033755274
130,0.5684053454080358,0.28059769660910244
133,0.6420742071453661,0.47180704098723947
135,0.7981533426834969,0.7066387185583782
140,0.7775443510737629,0.6725817986769176
141,0.6440627927508713,0.5175159186528044
146,0.35911801964909984,0.22418448382104228
147,0.6019019987105093,0.4099307159353349
148,0.356348035667474,0.14493459805959807
149,0.8239442615180361,0.6807752445365622
154,0.5714718272775144,0.3505478556276814
156,0.7805252692256134,0.6559166968644086
157,0.8643622260526964,0.6535196213162315
159,0.7487327162707562,0.598970057316158
160,0.6220238095238095,0.275735294117647
162,0.6568627450980392,0.3871502209131075
164,0.8084890444101204,0.6163484662721335
165,0.7287599551692657,0.5580593427258527
169,0.23990683229813664,0.175140231531209
174,0.6129692418000413,0.38637581016658634
178,0.6615188361741396,0.5144787644787645
182,0.6652298850574713,0.45030079299972653
183,0.8896489772254882,0.7852848071416112
185,0.6669772256728779,0.5366056771750722
187,0.6868954517390409,0.5569445085105401
188,0.5550920509820824,0.3482390659393243
190,0.5679597342361336,0.4269308056872038
191,0.4706168042739194,
