ID,wt1,Assigned_gene_name,wt2,xrn1_1,xrn1_2
14,0.7244582043343654,YAL062W,0.7510729613733905,0.5294117647058824,0.6015625
23,0.6815286624203821,YAL060W,0.6501240694789082,0.6262626262626263,0.5769230769230769
25,0.6394640682095006,YAL059W,0.6034042553191489,0.513986013986014,0.4329958308516975
27,0.86,YAL058W,,0.8100558659217877,0.7964601769911505
28,0.5980392156862745,YAL056W,0.5528846153846154,0.5346534653465347,0.5054347826086957
33,0.5503315250150693,YAL053W,0.5736800630417652,0.4666666666666667,0.4475362318840579
36,0.36024844720496896,YAL051W,0.42028985507246375,0.3962264150943397,0.270935960591133
41,0.6,YAL044W-A,0.5867949278530826,0.5109628217349858,0.4917712691771269
42,0.8730684326710817,YAL042W,0.8745898651111921,0.8195446973903387,0.8170028818443804
46,0.26515151515151514,YAL041W,0.32669322709163345,0.25721153846153844,0.21029082774049213
52,0.9677580761172092,YAL038W,0.9676958703203395,0.9416934021481378,0.937005842628424
59,0.6451612903225806,YAL037W,0.5892857142857143,0.5061728395061729,0.5648148148148148
61,0.8182669789227166,YAL035W,0.8299805321219987,0.7882770870337478,0.7701212789415656
64,0.4738805970149254,YAL034W-A,0.4837209302325581,0.42105263157894735,0.335483870967742
66,0.8239110287303059,YAL033W,0.8315217391304348,0.7784395473496128,0.7491638795986622
67,0.6831432192648923,YAL030W,0.6815352697095436,0.645,0.6426701570680629
70,0.6691449814126395,YAL027W,0.6612021857923497,0.5742296918767507,0.5414364640883977
74,0.8169209431345353,YAL019W,0.8095238095238095,0.7424849699398798,0.7235996326905417
78,0.6241554054054054,YAL016W,0.6353211009174312,0.6283446045280799,0.5996978851963746
79,0.4429530201342282,YAL013W,0.4393939393939394,0.3588516746411483,0.4669117647058824
81,0.8705739412173108,YAL012W,0.8686516244087772,0.7930190263010632,0.7717739780924392
84,0.6814159292035398,YAL011W,0.5764705882352941,0.5039370078740157,0.5692307692307692
86,0.64576802507837,YAL009W,0.6713615023474179,0.6300940438871473,0.5677233429394812
87,0.7200772200772201,YAL008W,0.7421686746987952,0.6851851851851852,0.6047904191616766
92,0.7954942979080669,YAL003W,0.7912130976225725,0.6988943077324001,0.680385832144408
96,0.4490445859872612,YAL002W,0.5303030303030303,0.4290123456790124,0.4222222222222222
98,0.5667447306791569,YAR002W,0.5398773006134969,0.5297157622739018,0.5416666666666666
99,0.7216981132075472,YAR003W,0.6878306878306878,0.6797385620915033,0.5889655172413794
100,0.6694677871148459,YAR008W,0.6962962962962963,0.6547085201793722,0.6270491803278688
102,0.5991983967935872,YAR015W,0.5591397849462365,0.536530415191503,0.5249127261186924
111,0.6544943820224719,YAR027W,0.6386292834890965,0.5472972972972973,0.5141129032258065
114,0.6974459724950884,YAR028W,0.6422594142259415,0.6418219461697723,0.5831987075928917
120,0.7444444444444445,YAR033W,0.6792452830188679,0.6709183673469388,0.6072289156626506
