ID,dcp2_1,Assigned_gene_name,dcp2_2
3,0.698019801980198,YAL064W-B,0.5943396226415094
14,0.5081081081081081,YAL062W,0.4869109947643979
19,0.6935483870967742,YAL061W,0.6513761467889908
23,0.4707602339181287,YAL060W,0.4335297969875573
25,0.4012903225806452,YAL059W,0.33270794246404
27,0.75,YAL058W,0.6528497409326425
28,0.4078014184397163,YAL056W,0.3346007604562737
29,0.7719298245614035,YAL055W,0.6711409395973155
33,0.4398511781727987,YAL053W,0.417296389588581
36,0.3173913043478261,YAL051W,0.2706422018348624
40,0.6956521739130435,YAL044W-A,0.6209677419354839
41,0.4365471333476487,YAL044W-A,0.3630244559120485
42,0.7916941331575478,YAL042W,0.7605633802816901
46,0.18429003021148035,YAL041W,0.1836734693877551
52,0.9229035938391328,YAL038W,0.904197263352193
59,0.5517241379310345,YAL037W,0.4827586206896552
61,0.7252024291497976,YAL035W,0.7062339880444065
64,0.3392857142857143,YAL034W-A,0.3003300330033004
66,0.766859344894027,YAL033W,0.7387914230019493
67,0.5778401122019635,YAL030W,0.5486725663716814
69,0.5811518324607329,YAL028W,0.6666666666666666
70,0.5269320843091335,YAL027W,0.5040431266846361
74,0.6434195725534309,YAL019W,0.5665280665280665
75,0.8097982708933718,YAL017W,0.8005319148936171
77,0.4657534246575342,YAL017W,0.40625
78,0.5343915343915344,YAL016W,0.4597989949748744
79,0.3964285714285714,YAL013W,0.2857142857142857
81,0.7298501852547925,YAL012W,0.6670308387545315
84,0.5100671140939598,YAL011W,0.5286624203821656
86,0.5525525525525525,YAL009W,0.5535714285714286
87,0.5448916408668729,YAL008W,0.5324881141045958
91,0.3225806451612903,YAL003W,0.34444444444444444
92,0.6986501276906238,YAL003W,0.6589394378441031
96,0.3241895261845387,YAL002W,0.3133333333333333
98,0.509090909090909,YAR002W,0.4471910112359551
99,0.5251798561151079,YAR003W,0.4368231046931408
100,0.606425702811245,YAR008W,0.495850622406639
102,0.5476973684210527,YAR015W,0.5026371308016878
111,0.4453551912568306,YAR027W,0.3903903903903904
114,0.5166374781085814,YAR028W,0.473015873015873
120,0.5565610859728507,YAR033W,0.4804630969609262
126,0.6507042253521127,YAR042W,0.5924855491329479
129,0.3962264150943397,YAR075W,0.3921568627450979
130,0.3708609271523179,YBL102W,0.28691275167785235
131,0.4880952380952381,YBL100W-A,0.46
133,0.5080600333518621,YBL099W,0.4626865671641791
135,0.816,YBL098W,0.7
138,0.7173913043478259,YBL097W,0.6853932584269663
140,0.7047872340425532,YBL095W,0.6309794988610479
141,0.5501730103806228,YBL092W,0.5129031103475429
146,0.2396061269146608,YBL090W,0.18342776203966005
147,0.4014084507042254,YBL089W,0.3490566037735849
148,0.20782122905027933,YBL085W,0.14994363021420518
149,0.7311827956989247,YBL081W,0.6975206611570248
154,0.4414937759336099,YBL079W,0.4453280318091452
156,0.6954273271638541,YBL071W-A,0.6395998823183289
157,0.7232323232323232,YBL069W,0.6493506493506493
159,0.5991879350348028,YBL068W,0.5411078717201167
160,0.408,YBL063W,0.29896907216494845
161,0.6028708133971292,YBL060W,0.6028037383177571
162,0.5072463768115942,YBL060W,0.5367647058823529
164,0.6891054030115146,YBL058W,0.6226415094339622
165,0.5764331210191083,YBL056W,0.5339074273412271
166,0.6521739130434783,YBL054W,0.5576923076923077
169,0.22689075630252106,YBL054W,0.1732283464566929
174,0.4083044982698962,YBL050W,0.3721474546518432
175,0.8385269121813032,YBL049W,0.8262295081967214
176,0.6989247311827957,YBL049W,0.6705882352941176
178,0.5742574257425742,YBL046W,0.4829268292682927
180,0.6840148698884758,YBL043W,0.6996587030716723
182,0.6086956521739131,YBL041W,0.504950495049505
183,0.812702527543746,YBL041W,0.7685060565275909
185,0.4633027522935779,YBL039W-B,0.4525
186,0.451219512195122,YBL039W-B,0.38461538461538464
187,0.606280193236715,YBL038W,0.5689252336448598
188,0.4408866995073892,YBL037W,0.4207492795389049
190,0.4147843942505133,YBL032W,0.3964497041420119
191,0.3928571428571429,YBL031W,0.3974358974358974
194,0.4060385216033316,YBL027W,0.3519970685232686
199,0.5538881309686221,YBL026W,0.5561312607944733
200,0.8780487804878049,YBL025W,0.7976653696498055
201,0.8285714285714286,YBL024W,0.7781456953642384
203,0.6627565982404692,YBL020W,0.6333333333333333
205,0.44954128440366975,YBL019W,0.5247524752475248
208,0.7856315179606026,YBL016W,0.7477973568281938
210,0.8087855297157622,YBL015W,0.7641277641277642
213,0.4492753623188406,YBL013W,0.5737704918032787
215,0.6697247706422018,YBL011W,0.6171328671328671
218,0.6308243727598566,YBL008W,0.5733788395904437
221,0.41818181818181815,YBL005W,0.3859649122807017
222,0.5275590551181102,YBL005W,0.4836065573770492
224,0.3709677419354839,YBL005W-A,0.35365853658536583
225,0.38028169014084506,YBL005W-A,0.3442622950819672
229,0.6731141199226306,YBL004W,0.6202321724709784
230,0.7150786308973173,YBL002W,0.6726587052168448
234,0.7213114754098361,YBR003W,0.6311475409836066
235,0.609375,YBR005W,0.5185185185185185
236,0.658578856152513,YBR005W,0.6238174735670562
237,0.869942196531792,YBR005W,0.8094117647058824
239,0.6849816849816851,YBR006W,0.6370370370370371
248,0.28811720021703746,YBR010W,0.2324658138509043
250,0.4166666666666667,YBR016W,0.4077669902912621
251,0.58625,YBR016W,0.5473751600512163
254,0.77,YBR021W,0.7169421487603306
255,0.6641791044776121,YBR022W,0.6201859229747676
258,0.4868421052631579,YBR024W,0.3971631205673759
259,0.636094674556213,YBR030W,0.5224358974358975
260,0.6009501187648456,YBR030W,0.56
261,0.6273146057266733,YBR031W,0.5989103516592372
273,0.5326797385620915,YBR038W,0.4859271523178808
276,0.698097936058276,YBR039W,0.6601769911504425
278,0.6526315789473685,YBR041W,0.5817843866171004
286,0.6831275720164609,YBR047W,0.672
288,0.43859649122807015,YBR048W,0.4074074074074074
289,0.7630781077048944,YBR048W,0.7394013344063969
293,0.2222222222222222,YBR051W,
298,0.4954128440366973,YBR054W,0.5113636363636364
299,0.4960772480386239,YBR054W,0.4242979242979243
301,0.4951830443159923,YBR056W,0.4539748953974895
305,0.6224156692056583,YBR056W-A,0.5684430512016719
313,0.4738617200674536,YBR071W,0.4282731881896809
318,0.5920138888888888,YBR072W,0.5379609544468547
320,0.7466996699669967,YBR073W,0.7327517842981759
321,0.4739299610894942,YBR074W,0.4411508282476024
324,0.408083606144548,YBR078W,0.371005856364944
329,0.5137614678899083,YBR083W,0.4827586206896552
330,0.4891304347826087,YBR083W,0.4831460674157304
331,0.2829341317365269,YBR083W,0.2359375
333,0.6202783300198808,YBR084W,0.5778275475923852
334,0.6764705882352942,YBR085W,0.4927536231884058
338,0.5116279069767442,YBR087W,
339,0.7547568710359408,YBR087W,0.73125
344,0.6973684210526315,YBR094W,0.6357142857142857
345,0.16895874263261296,YBR096W,0.14259681093394078
346,0.7303754266211604,YBR097W,0.6324110671936759
347,0.7847222222222222,YBR098W,0.7091503267973857
348,0.3953488372093023,YBR103W,0.5045045045045045
349,0.5102040816326531,YBR103W,0.4603174603174603
350,0.6893542757417103,YBR104W,0.5989583333333334
352,0.5410506448568733,YBR106W,0.4593951749915053
356,0.7040816326530612,YBR108W,0.6447368421052632
357,0.5228215767634855,YBR110W,0.4879852125693161
358,0.6645569620253164,YBR110W,0.5812182741116751
360,0.5945399393326593,YBR111W-A,0.5607798165137615
362,0.8347826086956521,YBR114W,0.7248908296943232
367,0.5926687023342644,YBR118W,0.5270648251474617
