ID,s1,s2
2,0.866666667,0.7
3,0.843137255,0.807017544
13,0.887755102,0.887850467
14,0.762470309,0.794117647
15,0.755102041,0.777158774
19,0.75,0.766584767
23,0.71594509,0.708641975
25,0.667439166,0.646347607
27,0.681247759,0.664960447
28,0.673021002,0.655070004
29,0.678593848,0.657981803
33,0.634674923,0.62896664
36,0.625848981,0.621437908
39,0.625698324,0.621374445
40,0.626465329,0.622925311
41,0.617136241,0.609474198
42,0.698517154,0.691312176
46,0.688705943,0.68129583
51,0.688667924,0.681032597
52,0.937498257,0.924707195
58,0.937406509,0.924545007
59,0.937238261,0.92423746
61,0.93492552,0.921916692
64,0.933803226,0.920416547
66,0.932736676,0.919133109
67,0.930977814,0.915592246
68,0.930956272,0.915592445
69,0.930914122,0.915432032
70,0.930287027,0.914715307
74,0.929563755,0.913837881
75,0.92957361,0.913775518
76,0.929556328,0.9137687
77,0.929529727,0.913748764
78,0.92327777,0.906550646
79,0.922659805,0.905638325
81,0.915895926,0.899711758
84,0.91569702,0.899370757
86,0.915052161,0.898769589
87,0.914298716,0.897969237
91,0.914232651,0.897849131
92,0.89336522,0.874343741
96,0.892509143,0.873691168
98,0.891657844,0.872651915
99,0.891437617,0.872318926
100,0.890954333,0.871867037
102,0.889189287,0.869670305
105,0.889183897,0.869645673
110,0.889221303,0.86976038
111,0.888716325,0.869062841
114,0.888129793,0.868048146
115,0.888131141,0.868050616
116,0.888126465,0.868054321
120,0.887815523,0.867494051
122,0.887817546,0.867496524
126,0.887488522,0.867216168
129,0.88747922,0.867209328
130,0.886984865,0.866478355
131,0.886987204,0.86648395
133,0.876525991,0.858170864
134,0.876512247,0.858137519
135,0.876325776,0.85796949
138,0.876295326,0.857900365
140,0.876153473,0.857729795
141,0.807337701,0.78445758
146,0.804338283,0.780954289
147,0.80397147,0.780641659
148,0.802937626,0.779567502
149,0.803085325,0.779831114
150,0.803064303,0.779789445
154,0.802098671,0.778768494
156,0.801966231,0.778825996
157,0.802153952,0.779128356
159,0.801770341,0.778968613
160,0.80169526,0.778893526
161,0.801679311,0.778892718
162,0.801621539,0.778894138
164,0.801659751,0.779002934
165,0.801341111,0.778662132
166,0.801318319,0.778648475
167,0.801323656,0.778638051
168,0.80127085,0.778595318
169,0.800558787,0.777970056
174,0.799505951,0.776955275
175,0.799490648,0.776977164
176,0.799488363,0.776972388
178,0.799416381,0.776886515
180,0.79942275,0.776878462
182,0.799362311,0.776812004
183,0.800261077,0.777987901
185,0.800211416,0.777776585
186,0.800182492,0.777765855
187,0.799902103,0.777618395
188,0.799661915,0.777321572
190,0.799203546,0.776800431
191,0.799121338,0.776698822
192,0.799164856,0.77673251
194,0.774715364,0.749822693
196,0.77469883,0.749795348
197,0.774701712,0.749797542
198,0.77466928,0.749775679
199,0.774319748,0.749573052
200,0.774397891,0.749693102
201,0.774970937,0.750382265
202,0.774967217,0.750383333
203,0.774796448,0.750364693
205,0.774760671,0.75035379
207,0.774760444,0.750351593
208,0.774900587,0.750444757
210,0.775007949,0.750566815
213,0.774979464,0.75053016
215,0.774953472,0.750602761
217,0.77504956,0.750695728
218,0.775081084,0.750786076
220,0.775075207,0.7507914
221,0.775056712,0.75076989
222,0.775060053,0.750772655
224,0.774849134,0.750632072
225,0.774730071,0.750560203
229,0.774334808,0.750358961
230,0.774810338,0.751691068
234,0.774881631,0.751932
235,0.774877636,0.751936075
236,0.774691237,0.751701669
237,0.774738279,0.751729301
239,0.774691785,0.751699582
248,0.769039826,0.743322774
250,0.769025076,0.743320132
251,0.768810203,0.743222924
254,0.768800085,0.743189828
255,0.768730607,0.743134081
258,0.768611298,0.743051105
259,0.768598045,0.743043167
260,0.768568299,0.743071495
261,0.769001072,0.744582216
264,0.768571096,0.744583165
265,0.768609129,0.744585062
273,0.768678609,0.744276731
276,0.768705101,0.744287261
278,0.768662921,0.744550725
286,0.780398159,0.744587573
288,0.780343296,0.744546066
289,0.780297686,0.761592127
293,0.779310845,0.761530265
298,0.779170036,0.761491284
299,0.778960677,0.760498722
301,0.778743202,0.760317392
305,0.778741444,0.760087888
313,0.778724105,0.759948865
317,0.778712167,0.759931365
318,0.778772289,0.759934471
320,0.778453605,0.760063493
321,0.770173569,0.759726625
324,0.770179377,0.750652286
329,0.77017935,0.750655656
330,0.769994881,0.750658376
331,0.769941507,0.750451245
333,0.769940321,0.750491466
334,0.769926074,0.750450857
338,0.770030101,0.750445355
339,0.770023718,0.750552854
344,0.768773568,0.750549802
345,0.768794213,0.748889506
346,0.768798092,0.748941796
347,0.76872106,0.748962362
348,0.768713618,0.748936795
349,0.768559535,0.74893072
350,0.76820981,0.748847951
352,0.768209191,0.748467653
355,0.768189416,0.748467702
356,0.768103331,0.748469999
357,0.768122543,0.74843428
358,0.768168637,0.748527089
360,0.768206642,0.748557623
362,0.768207804,0.748626037
366,0.766891662,0.748607502
367,0.766849008,0.750816825
369,0.766849799,0.750779157
371,0.767229086,0.750779691
373,0.767228973,0.751347308
376,0.767228348,0.751343829
377,0.767052795,0.75134221
378,0.767021443,0.751181166
379,0.767339464,0.751157515
381,0.767743436,0.751571123
384,0.767744893,0.751929317
385,0.767491979,0.751947975
386,0.767404318,0.751710008
388,0.766521954,0.751631219
390,0.766526353,0.750797728
392,0.76612757,0.750797681
393,0.766017744,0.750366993
394,0.765991497,0.75033327
396,0.76598686,0.750304991
398,0.765961186,0.750333083
400,0.765957059,0.750295606
406,0.766181914,0.75029299
407,0.765941184,0.750581497
408,0.765690363,0.750384405
409,0.765648261,0.750185035
410,0.765664348,0.750153859
412,0.765646121,0.750161093
413,0.767087026,0.750133607
414,0.766946452,0.751684278
415,0.76694156,0.751597186
416,0.766962759,0.751598125
418,0.766962917,0.751642794
419,0.766973947,0.751642767
421,0.766971723,0.751654436
422,0.766963756,0.751653405
423,0.76695974,0.751652375
424,0.76696583,0.751661242
425,0.76660212,0.751678938
426,0.766618723,0.751347365
428,0.7665853,0.751355867
429,0.766595959,0.751317458
431,0.766598228,0.751315537
432,0.76659353,0.751317567
435,0.766726771,0.751316012
436,0.766724828,0.751468819
437,0.76662963,0.751471329
440,0.759043577,0.751098874
441,0.759044091,0.745173559
443,0.751422868,0.745169366
444,0.75131322,0.736805306
445,0.751349896,0.736670249
446,0.75128076,0.736718907
447,0.751290416,0.736641633
448,0.751258754,0.736649864
454,0.751206758,0.73667942
455,0.751141048,0.736632535
456,0.751058024,0.7365453
458,0.751064773,0.736504912
460,0.751063665,0.736513512
461,0.751436627,0.736516536
464,0.751177278,0.736915869
465,0.75117012,0.736669479
468,0.751295137,0.736641378
469,0.751289801,0.736826271
471,0.751287511,0.736833113
472,0.751419006,0.73685606
473,0.751439043,0.736977523
474,0.75148213,0.737004439
476,0.751496537,0.737058279
478,0.751494354,0.737077514
479,0.751464969,0.737075545
480,0.751291642,0.737051665
482,0.751296155,0.736875853
483,0.750974654,0.736884075
484,0.751042523,0.736583973
485,0.750949707,0.736642912
486,0.750949701,0.736570588
489,0.750703732,0.73657115
491,0.750705496,0.736262667
492,0.750685258,0.736264533
493,0.750677345,0.736247813
494,0.750589195,0.736265543
495,0.750586706,0.736172935
497,0.750584981,0.736177131
499,0.751459362,0.736173858
500,0.751459712,0.737495577
502,0.751441745,0.737430344
503,0.751372156,0.737353136
506,0.751373205,0.737353596
507,0.751410293,0.73738792
508,0.751387296,0.737370824
509,0.751312901,0.737411665
510,0.75126804,0.737376078
511,0.751189406,0.737305421
513,0.750591571,0.736712138
516,0.750597815,0.736712512
517,0.750511059,0.736643516
518,0.750556945,0.736674661
519,0.750530279,0.736631587
522,0.750528556,0.736668066
525,0.750528553,0.736667245
526,0.750287421,0.736393659
528,0.750285665,0.73640245
531,0.750287753,0.736404923
532,0.749998957,0.736150004
535,0.750322079,0.736541178
540,0.750318253,0.736548977
542,0.750286151,0.736561623
546,0.750284734,0.736567345
547,0.750285078,0.736568702
548,0.750285768,0.736570963
552,0.750286446,0.736569255
553,0.750273274,0.73654231
556,0.750276376,0.736546831
557,0.75028008,0.736574821
559,0.750282491,0.736574461
560,0.750183051,0.736576269
565,0.750376023,0.73651019
566,0.750372918,0.736733027
567,0.750371195,0.736729965
569,0.750092819,0.736408034
570,0.750054988,0.736388348
575,0.750060141,0.736389264
576,0.750050172,0.736367008
577,0.749747741,0.736003489
578,0.749900027,0.736130306
579,0.749851478,0.736082285
583,0.749849769,0.736081671
584,0.749852509,0.736082215
585,0.749853537,0.736084554
593,0.749848764,0.736078911
594,0.749724346,0.735970324
598,0.7498071,0.736059448
602,0.749680239,0.735952025
603,0.749679899,0.73595212
604,0.749681268,0.735949622
605,0.749632006,0.73593056
606,0.749654701,0.735943248
610,0.749703836,0.736015951
612,0.749677655,0.735999458
615,0.749697472,0.7360134
616,0.749695092,0.73601359
619,0.749695433,0.736105076
620,0.749765028,0.736106415
621,0.749766049,0.736107307
622,0.74976707,0.736105452
623,0.749759593,0.736203322
625,0.749849179,0.736203063
626,0.749850539,0.736102976
628,0.74977724,0.737662225
629,0.751331464,0.737646587
630,0.751322723,0.737543192
632,0.751230782,0.737555244
634,0.75124428,0.737503557
640,0.751174746,0.737527935
650,0.751206195,0.737582959
651,0.751230439,0.737578259
654,0.751210153,0.73757999
655,0.751210476,0.715054088
662,0.730682252,0.715012897
666,0.730654629,0.715013048
667,0.730655716,0.715001602
668,0.730646543,0.715002257
669,0.730646769,0.714622092
682,0.730298283,0.714620101
683,0.730301317,0.714611118
684,0.730295594,0.7146221
685,0.730312178,0.71521576
686,0.730991298,0.715180048
691,0.730944676,0.715176564
692,0.730937723,0.715176221
695,0.730937645,0.715171429
696,0.730938312,0.715116192
699,0.730883252,0.715217251
700,0.730986063,0.715226306
702,0.730975716,0.713907759
705,0.729522029,0.713888787
706,0.729509825,0.713953552
707,0.729574136,0.714013265
713,0.729618157,0.713997768
714,0.729609061,0.714000405
715,0.729612201,0.713995186
717,0.729618135,0.714003055
718,0.729627927,0.71400322
719,0.729628445,0.714006998
720,0.72963202,0.71392898
721,0.729553079,0.713869586
723,0.729508573,0.713996307
726,0.729659475,0.713995983
727,0.729659991,0.714151393
729,0.729808122,0.714153546
731,0.729811374,0.714176062
732,0.729833629,0.714118005
733,0.729734568,0.714136138
734,0.72975702,0.714135975
735,0.72975882,0.714136302
736,0.729760877,0.714105759
737,0.72973657,0.714106898
738,0.729736545,0.714112106
739,0.729741996,0.71401187
741,0.729630285,0.713999561
742,0.729622739,0.714000052
743,0.729625903,0.714001354
745,0.729625466,0.714002987
747,0.729623669,0.713461554
750,0.728985173,0.71358894
751,0.72908786,0.713587359
754,0.729083971,0.713287807
755,0.728812515,0.713288299
767,0.728813543,0.713286364
769,0.728812579,0.713288013
770,0.72881221,0.713293569
771,0.728821332,0.713294544
782,0.728820642,0.713281832
783,0.728796923,0.713283623
784,0.728799059,0.713269219
785,0.728794084,0.713270851
786,0.728796396,0.713283148
787,0.728809048,0.713284448
788,0.728808872,0.713050516
790,0.72857996,0.713006214
793,0.728506462,0.712989778
